[00:00.000 --> 00:02.000]  You a Letterman fan?
[53:55.520 --> 53:58.560]  It feels very nice to the touch, but it doesn't feel like steel.
[53:58.560 --> 54:02.120]  Whereas if I touch the other Apple watch the review unit, you can instantly tell this
[54:02.120 --> 54:03.880]  feels like steel.
[54:03.880 --> 54:12.360]  Is it that it's less porous or yeah, it's a little bit, it's like, it feels sort of like
[54:12.360 --> 54:17.320]  a plastic coating on steel, but the plastic's the wrong word though, but I mean plastic
[54:17.320 --> 54:19.160]  only in that it feels smoother.
[54:19.160 --> 54:20.400]  It feels less porous.
[54:20.400 --> 54:23.760]  It feels like perfectly polished.
[54:23.760 --> 54:24.760]  That's cool.
[54:24.760 --> 54:25.760]  I'll have to try one out.
[54:25.760 --> 54:30.080]  I kind of skipped that one during the try on session.
[54:30.080 --> 54:33.680]  I definitely, and I recommend if anybody does get, you know, some hands on time with one.
[54:33.680 --> 54:34.680]  Just feel it.
[54:34.680 --> 54:37.160]  Don't just look at it, but like actually feel it.
[54:37.160 --> 54:39.080]  What color is the accent on the crown?
[54:39.080 --> 54:40.920]  Is it black also?
[54:40.920 --> 54:41.920]  It is black.
[54:41.920 --> 54:44.320]  Everything is black.
[54:44.320 --> 54:49.320]  It is, there is a sort of Darth Vaderish aesthetic to it.
[54:49.320 --> 54:54.720]  Do you go for a different face with the black one than the silver one?
[54:54.720 --> 54:55.720]  No.
[54:55.720 --> 54:58.520]  So activity with the orange second hand.
[54:58.520 --> 54:59.520]  Cool.
[54:59.520 --> 55:04.120]  I see now that, you know, I don't know, so maybe it was on Twitter or somewhere where
[55:04.120 --> 55:10.520]  you were trashing the color face, but it actually looks great when you have a colored
[55:10.520 --> 55:11.520]  band.
[55:11.520 --> 55:12.520]  Oh, I didn't want to trash.
[55:12.520 --> 55:13.520]  No, I know.
[55:13.520 --> 55:14.520]  Yeah.
[55:14.520 --> 55:16.520]  Actually, there's something very annoying about the color face.
[55:16.520 --> 55:19.720]  So if we have some swing here, let's talk about it there.
[55:19.720 --> 55:24.040]  I hold that that let's do a sponsor and we'll know, we'll know where we're coming back
[55:24.040 --> 55:25.040]  to when we come back.
[55:25.040 --> 55:27.080]  We'll pitch about the color face.
[55:27.080 --> 55:31.240]  Let me take a break here and tell you about our next sponsor, another long time friend
[55:31.240 --> 55:35.400]  of the show, our good friends at Fracture.
[55:35.400 --> 55:39.960]  Fracture is the service where you send your photos to them.
[55:39.960 --> 55:47.320]  They print it directly on glass, your size, whatever size frame you want, anything from
[55:47.320 --> 55:52.280]  a little five by five square up to a giant like 23 by 29 inch thing you can hang on
[55:52.280 --> 55:55.440]  a wall.
[55:55.440 --> 55:59.440]  Amazingly to me, it's amazing to me with, you know, with all the talk about megapixels
[55:59.440 --> 56:02.360]  and how they don't really matter, et cetera, et cetera, but that you can take like photos
[56:02.360 --> 56:07.160]  with your iPhone and print them on like a 23 by 29 thing and it looks great and doesn't
[56:07.160 --> 56:09.600]  look pixelated at all.
[56:09.600 --> 56:11.840]  You can totally do that.
[56:11.840 --> 56:16.800]  All sorts of sizes, really great service and just amazing results.
[56:16.800 --> 56:20.800]  They print this stuff right on the glass and it looks like it's right on the surface.
[56:20.800 --> 56:24.000]  Now really what they do with the printing is on the bottom.
[56:24.000 --> 56:27.680]  So like it's not going to scratch off or anything like that, what you expose, like if
[56:27.680 --> 56:31.240]  you hang it on a wall, the printing isn't on top of the glass, it's on the bottom of
[56:31.240 --> 56:32.240]  the glass.
[56:32.240 --> 56:37.800]  But because it's just this thin layer of glass, the effect is exactly like, you know, the
[56:37.800 --> 56:42.240]  effect of like the display being laminated to the glass on an iPhone.
[56:42.240 --> 56:48.080]  It just looks like the like the picture is on glass.
[56:48.080 --> 56:51.080]  I've said this so many times, but I'm telling you, you get a couple of these, you hang
[56:51.080 --> 56:55.360]  them up on the wall and when people come into your house, they say, whoa, what is that?
[56:55.360 --> 56:56.360]  How did you do that?
[56:56.360 --> 56:57.640]  How is that possible?
[56:57.640 --> 57:02.280]  Because it doesn't look like any other paint or picture hanging on your wall.
[57:02.280 --> 57:06.960]  There's no bezel around the side, it's edge to edge and it really clearly does not look
[57:06.960 --> 57:11.640]  like a piece of paper with the photo on it behind glass.
[57:11.640 --> 57:14.400]  It really does look like it's right on the surface.
[57:14.400 --> 57:16.920]  It's such a great effect.
[57:16.920 --> 57:22.320]  Father's Day is coming up, it is a tremendous gift idea for anybody in your family, can't
[57:22.320 --> 57:25.520]  go wrong with the fracture as a gift idea.
[57:25.520 --> 57:28.920]  So where do you go to find out more?
[57:28.920 --> 57:36.440]  Go to fractureme.com and use the code when you check out Daring Fireball and that will
[57:36.440 --> 57:41.400]  save you 15% on your order.
[57:41.400 --> 57:42.400]  So my thanks to fracture.
[57:42.400 --> 57:43.400]  Go there.
[57:43.400 --> 57:46.040]  I know I talk about them every week, but they keep sponsoring because you guys keep buying
[57:46.040 --> 57:47.040]  the picture.
[57:47.040 --> 57:48.040]  So keep buying pictures.
[57:48.040 --> 57:51.720]  And if you haven't done it yet, check them out, you're nuts if you don't.
[57:51.720 --> 57:54.440]  So you want to talk, speak on color photos, we can talk about the color.
[57:54.440 --> 57:57.880]  Color face looks great with the color sport band.
[57:57.880 --> 57:59.680]  I love it.
[57:59.680 --> 58:09.040]  But in every watch face has different complications and because I have not owned a watch
[58:09.040 --> 58:11.960]  in so long, I can't tell time.
[58:11.960 --> 58:20.400]  So I keep the digital time in one of the corners, sorry, kind of embarrassing, it is a little
[58:20.400 --> 58:21.400]  embarrassing.
[58:21.400 --> 58:22.400]  I know.
[58:22.400 --> 58:29.640]  You know what actually is the main reason is that the watch has sleeves have not been
[58:29.640 --> 58:34.400]  a problem, like the watch fits pretty nicely under my shirt sleeves, but it kind of
[58:34.400 --> 58:39.560]  parks itself in a way that if I stretch my arm out, I can't really see the whole watch
[58:39.560 --> 58:40.560]  very easily.
[58:40.560 --> 58:42.840]  Yeah, I kind of have to fiddle with it.
[58:42.840 --> 58:47.400]  So in the bottom right corner, I keep the digital time.
[58:47.400 --> 58:53.120]  But there is no digital time function complication in the color face.
[58:53.120 --> 58:56.720]  So you have to use world clock.
[58:56.720 --> 58:57.720]  Right.
[58:57.720 --> 59:03.240]  So you have to keep your city, and I guess I don't know what the details are.
[59:03.240 --> 59:08.200]  But when I essentially, when I leave, when I switch cities, I have to change the time
[59:08.200 --> 59:13.240]  manually, or the city manually to have the current time there, which is fine.
[59:13.240 --> 59:16.240]  I don't, you know, it's not like I'm traveling all the time.
[59:16.240 --> 59:24.000]  But now it always says NYC with the local time in the corner.
[59:24.000 --> 59:29.520]  So a friend of the show, Dave Whiskis, editor of the show as a matter of fact, it came
[59:29.520 --> 59:34.160]  up with a clever hack on that.
[59:34.160 --> 59:38.920]  So with the color face, you can also, one of the, it's the only one where you can have
[59:38.920 --> 59:44.320]  the monogram complication.
[59:44.320 --> 59:45.840]  It is the color face with the monogram, right?
[59:45.840 --> 59:47.000]  I don't think so.
[59:47.000 --> 59:50.160]  I think that's, let me customize it.
[59:50.160 --> 59:51.160]  Nope.
[59:51.160 --> 59:52.160]  Oh wait.
[59:52.160 --> 59:53.160]  Yes.
[59:53.160 --> 59:54.160]  Yeah, yeah.
[59:54.160 --> 59:57.720]  So you can set a monogram on the phone in the Apple Watch app.
[59:57.720 --> 59:59.640]  There's somewhere in the settings, and you set a monogram.
[59:59.640 --> 1:00:02.880]  You only get up to four characters, I think.
[1:00:02.880 --> 1:00:07.100]  You have four characters to play with, and you could just put your initials in there,
[1:00:07.100 --> 1:00:08.280]  anything up to four characters.
[1:00:08.280 --> 1:00:13.200]  And then it puts it like underneath the 12, you know, like where the logo usually goes
[1:00:13.200 --> 1:00:14.840]  on a, on a watch.
[1:00:14.840 --> 1:00:19.680]  So I figured out you can't put emoji in there, but there are those, I don't even know
[1:00:19.680 --> 1:00:24.200]  what you call them, but those Unicode, Unicode characters that are pictures, but aren't emoji
[1:00:24.200 --> 1:00:26.000]  because they're black and white.
[1:00:26.000 --> 1:00:31.840]  And there's the one that's the Apple logo, you know, I think you can get by typing.
[1:00:31.840 --> 1:00:37.760]  Shift, command, option, shift K, yeah, option shift K on a Mac.
[1:00:37.760 --> 1:00:41.200]  So there's no way to get that on iOS, but if you get it, type it on your Mac with option
[1:00:41.200 --> 1:00:45.760]  shift K, you can like text it to yourself and then copy it from the text and then paste
[1:00:45.760 --> 1:00:52.080]  it into the monogram thing, and then you can have a little Apple logo on the color face
[1:00:52.080 --> 1:00:57.840]  underneath the 12 clock, which is a neat little trick, but to me, it renders a little too
[1:00:57.840 --> 1:00:58.840]  small.
[1:00:58.840 --> 1:01:01.240]  It's like the size isn't right.
[1:01:01.240 --> 1:01:04.640]  Whisk has had the idea though, because I think he does the same thing you do where he
[1:01:04.640 --> 1:01:11.120]  wants the digital time, even with an analog face is you can also name custom, make custom
[1:01:11.120 --> 1:01:16.520]  names for the time zones. So like if, like let's say you live in Philadelphia, if you
[1:01:16.520 --> 1:01:23.080]  don't want it to say NYC for your home time, you can make it say PHL or whatever, or whatever
[1:01:23.080 --> 1:01:24.960]  your hometown is in your time zone.
[1:01:24.960 --> 1:01:29.760]  So you could name the time zone with the Apple logo and then it will Apple logo and the
[1:01:29.760 --> 1:01:33.320]  digital time up in the corner, which is a pretty neat trick.
[1:01:33.320 --> 1:01:39.000]  So if you want the digital time, but don't want to have stupid NYC or, you know, SF or
[1:01:39.000 --> 1:01:40.640]  something like that up there too.
[1:01:40.640 --> 1:01:45.280]  Yeah, although when I, so, so then when I was in California last week or two weeks ago,
[1:01:45.280 --> 1:01:50.840]  I switched it from San Francisco to LA once I landed in LA, and it was kind of cool.
[1:01:50.840 --> 1:01:54.480]  It was like, yep, now I'm in LA and my watch is telling me that.
[1:01:54.480 --> 1:01:57.640]  So maybe it's a feature and not a bug.
[1:01:57.640 --> 1:02:02.080]  For the U.S. at least, well, again, this is why they let you customize it is to me.
[1:02:02.080 --> 1:02:06.680]  I guess I'd rather just have the time zone, like, you know, I just Eastern Daylight
[1:02:06.680 --> 1:02:11.200]  Time or Pacific Daylight Time or something like that, but I get, you know, for like worldwide
[1:02:11.200 --> 1:02:14.600]  I don't really think, I don't even know what the name of the time zone is for Paris or
[1:02:14.600 --> 1:02:15.600]  something like that.
[1:02:15.600 --> 1:02:16.920]  I just, you know, I want the city.
[1:02:16.920 --> 1:02:22.240]  But I think it's pulling in the city from your world clock settings, which I think is
[1:02:22.240 --> 1:02:23.640]  across iOS.
[1:02:23.640 --> 1:02:24.640]  Yes.
[1:02:24.640 --> 1:02:31.120]  So you go to the, you go to the clock app in, I think, I don't know.
[1:02:31.120 --> 1:02:32.120]  Who knows?
[1:02:32.120 --> 1:02:33.120]  Yeah, I don't know.
[1:02:33.120 --> 1:02:34.120]  Play around.
[1:02:34.120 --> 1:02:35.120]  It's around with the Apple logo.
[1:02:35.120 --> 1:02:38.880]  Like this is some of the most fun I've had those messing around with this thing.
