[00:00.000 --> 00:02.000]  I've got too many iPads
[01:18:40.000 --> 01:18:44.000]  I mean, I mean, Apple does need to live it down. But I think as we've described,
[01:18:44.000 --> 01:18:50.000]  like I get why they're at this point and I get that they maybe felt like they just had to choose.
[01:18:50.000 --> 01:18:55.000]  Do we do this kind of embarrassing thing or do we reduce our margins on this iPad?
[01:18:55.000 --> 01:19:00.000]  And they're like, well, we're not reducing our margins. So we'll be we'll just handle the embarrassment and we'll move on.
[01:19:00.000 --> 01:19:05.000]  But it's not a great experience. I mean, I've seriously if you're somebody who ends up with this,
[01:19:05.000 --> 01:19:09.000]  look at that Logitech crayon because it's just going to be a way better experience all around,
[01:19:09.000 --> 01:19:15.000]  unless you absolutely need the pressure sensitivity stuff and you know if you are.
[01:19:15.000 --> 01:19:22.000]  But for most people, I feel like the crayon is not only will it work better with this iPad, but it'll also work with all the other ones.
[01:19:22.000 --> 01:19:27.000]  Right. That's the other. Yeah. For institution, like education buyers who might have might be thinking,
[01:19:27.000 --> 01:19:33.000]  well, we'll buy some of these iPads, but we might also have some other ones. iPad Airs or Pros or Minis, right?
[01:19:33.000 --> 01:19:37.000]  Even the mini and don't invest in the Apple Pencil one. Buy a crayon instead.
[01:19:37.000 --> 01:19:41.000]  Right. Buy the crayons instead. And because then you'll be able to keep using them going forward.
[01:19:41.000 --> 01:19:47.000]  All right. Let me take a break here and thank our next sponsor. And it is our good friends, my good friends, at least at Linode.
[01:19:47.000 --> 01:19:57.000]  They've got a new product released this year. Databases. They've got MySQL, MongoDB, Postgres, I guess MySQL.
[01:19:57.000 --> 01:20:01.000]  I always say it that way. I guess the people who know what the hell they're talking about say MySQL.
[01:20:01.000 --> 01:20:09.000]  But whatever, however you pronounce it, they've got it. What they are are fully managed database services for those databases.
[01:20:09.000 --> 01:20:15.000]  It's simple and reliable. It is managed and you can easily deploy high performance database clusters.
[01:20:15.000 --> 01:20:22.000]  They allow you to quickly deploy a new database and defer management tasks like configurations, managing high availability.
[01:20:22.000 --> 01:20:30.000]  They've got disaster recovery, backups, data replications. You get all of that stuff, including secure access and very flexible plans.
[01:20:30.000 --> 01:20:38.000]  They've got award winning technical support that is offered 24 hours a day, seven days a week, 365 days a year to every level of user.
[01:20:38.000 --> 01:20:44.000]  Thanksgiving's coming up. You need technical support for your hosted managed servers on Thanksgiving.
[01:20:44.000 --> 01:20:47.000]  Guess what? You can get it from Linode. That's the commitment they have to service.
[01:20:47.000 --> 01:20:52.000]  They're there all day, every day with really just terrific technical support.
[01:20:52.000 --> 01:20:56.000]  And they really do. They've got plans. It's really unbelievable.
[01:20:56.000 --> 01:21:03.000]  They've got plans from that that go from hobbyists, five dollar, ten dollar a month plans for just having like a server,
[01:21:03.000 --> 01:21:09.000]  like a Minecraft server or something like that that you want to run for your kids or just a hobbyist website or something like that,
[01:21:09.000 --> 01:21:17.000]  all the way up to genuine enterprise level support and massive server buys for truly professional needs.
[01:21:17.000 --> 01:21:23.000]  And it just scales right up and you get the same great tech support no matter which level you're at.
[01:21:23.000 --> 01:21:29.000]  They have the best price to performance value for all compute instances, including GPUs and block storage.
[01:21:29.000 --> 01:21:35.000]  Kubernetes bear their bare metal release. All that stuff may make cloud computing fast, simple and affordable.
[01:21:35.000 --> 01:21:38.000]  This is where I host during Fireball. I've been there for years.
[01:21:38.000 --> 01:21:43.000]  I expect to be there for many years to come. It is really it's just a terrific company and a terrific product.
[01:21:43.000 --> 01:21:47.000]  I could not be happier as a paying customer for my stuff. I just love it.
[01:21:47.000 --> 01:21:55.000]  Go to Linode, L-I-N-O-D-E, linode.com slash the talk show and create a free account.
[01:21:55.000 --> 01:22:01.000]  You can use your Google or GitHub accounts to do that or just sign up with email, which is what I would do, honestly.
[01:22:01.000 --> 01:22:06.000]  And by going to linode.com slash the talk show, you get a hundred bucks in credit, a hundred dollars.
[01:22:06.000 --> 01:22:10.000]  You're getting paid just to sign up and being a listener of this show.
[01:22:10.000 --> 01:22:16.000]  So my thanks to Linode for hosting during Fireball and for sponsoring the show.
[01:22:16.000 --> 01:22:21.000]  All right. The big change that that is the most notable change,
[01:22:21.000 --> 01:22:30.000]  I think, bigger than going from lightning to USB-C, honestly, because USB-C is sort of like the iPad catching up to the rest of the iPad lineup.
[01:22:30.000 --> 01:22:42.000]  The one that now puts the just plain no adjective, low priced iPad ahead of all other iPads is that front facing camera moving to the long side or as Apple calls it, the landscape side.
[01:22:42.000 --> 01:22:51.000]  Sure. And it's everybody's been clamoring for it. I've wanted it. I actually because my kitchen laptop is my iPad.
[01:22:51.000 --> 01:23:02.000]  And so like when Amy and I like we FaceTime family or anybody else like our school stuff now that the kids in college, we don't really parents aren't really involved, thankfully.
[01:23:02.000 --> 01:23:12.000]  But I like when Jonas was in high school and there'd be stuff and during COVID for sure with school stuff, we did the Zoom stuff together with an iPad.
[01:23:12.000 --> 01:23:18.000]  And it's just a constant irritation to me that in a laptop configuration, the camera is wrong.
[01:23:18.000 --> 01:23:21.000]  It makes it look it's too it's even lower than at the top.
[01:23:21.000 --> 01:23:32.000]  And everybody knows that desk height laptop front facing camera is unflattering looking up at your face and your nose.
