[00:00.000 --> 00:02.000]  fashionably late as always.
[1:01:31.000 --> 1:01:36.000]  and it is in a lot of ways that it didn't go retin' at first,
[1:01:36.000 --> 1:01:40.000]  or at least simultaneously, and probably not even close.
[1:01:40.000 --> 1:01:44.000]  Like, I know Marco's logic of why he doesn't think a standalone 5K display
[1:01:44.000 --> 1:01:46.000]  is going to ship from Apple until 2016.
[1:01:46.000 --> 1:01:49.000]  It's pretty sound because there's a lot of,
[1:01:49.000 --> 1:01:53.000]  I think he probably does need display port slash Thunderbolt,
[1:01:53.000 --> 1:01:56.000]  you know, 1.3 slash Thunderbolt 3,
[1:01:56.000 --> 1:01:58.000]  because they're not going to do the,
[1:01:58.000 --> 1:02:01.000]  they're not going to have you run two cables to drive it.
[1:02:01.000 --> 1:02:04.000]  Yeah, I mean, that was always obvious that there's an advantage
[1:02:04.000 --> 1:02:05.000]  of an all-in-one.
[1:02:05.000 --> 1:02:07.000]  The advantage of the all-in-one has is they can use whatever
[1:02:07.000 --> 1:02:09.000]  the hell interconnect they want inside that box.
[1:02:09.000 --> 1:02:10.000]  Right.
[1:02:10.000 --> 1:02:11.000]  It doesn't need to conform to any specification.
[1:02:11.000 --> 1:02:14.000]  It doesn't need to, they can just do what you got to do
[1:02:14.000 --> 1:02:15.000]  to make it work.
[1:02:15.000 --> 1:02:16.000]  It all happens inside the box.
[1:02:16.000 --> 1:02:18.000]  And so you're always going to have an advantage for that thing.
[1:02:18.000 --> 1:02:23.000]  If it happened that a standardized external interconnect
[1:02:23.000 --> 1:02:26.000]  existed for a retina displays in the same time,
[1:02:26.000 --> 1:02:28.000]  Prime is the Mac Pro, the Mac Pro would have had it first.
[1:02:28.000 --> 1:02:30.000]  But it just so happened that it didn't.
[1:02:30.000 --> 1:02:32.000]  And then you're like, okay, well, we need to get right now
[1:02:32.000 --> 1:02:33.000]  there somehow.
[1:02:33.000 --> 1:02:36.000]  And because the Mac Pro uses the, you know, the Xeon parts
[1:02:36.000 --> 1:02:38.000]  and because they're generation behind
[1:02:38.000 --> 1:02:40.000]  and because we don't have the external interconnects,
[1:02:40.000 --> 1:02:42.000]  Apple just did whatever the hell it took to get it done
[1:02:42.000 --> 1:02:44.000]  inside this iMac box and don't worry about
[1:02:44.000 --> 1:02:45.000]  what goes on behind the curtain.
[1:02:45.000 --> 1:02:46.000]  Right.
[1:02:46.000 --> 1:02:50.000]  But it does create this weird and in historical time,
[1:02:50.000 --> 1:02:52.000]  you know, five, six, seven years now we're going to look back
[1:02:52.000 --> 1:02:55.000]  on it and it'll just be compressed and we'll just remember
[1:02:55.000 --> 1:02:58.000]  that the iMac was first and everything, you know,
[1:02:58.000 --> 1:03:00.000]  the standalone displays were second.
[1:03:00.000 --> 1:03:03.000]  In the interim though, it is weird that the iMac
[1:03:03.000 --> 1:03:05.000]  is going to have these super amazing retina displays
[1:03:05.000 --> 1:03:08.000]  and the Mac Pro no matter how much money you spend on it won't
[1:03:08.000 --> 1:03:11.000]  and let's, you know, well, I mean, you can get a 4K display
[1:03:11.000 --> 1:03:13.000]  not from app right for your back.
[1:03:13.000 --> 1:03:15.000]  And then you'd buy one of those like special, you know,
[1:03:15.000 --> 1:03:18.000]  ones for photography that has a bigger color gamut
[1:03:18.000 --> 1:03:20.000]  and has better accuracy and, you know,
[1:03:20.000 --> 1:03:23.000]  buy it from NEC is like the people who are buying Mac Pros
[1:03:23.000 --> 1:03:26.000]  might already have these super high-risk monitors
[1:03:26.000 --> 1:03:29.000]  for 4K video editing that conform to different standards
[1:03:29.000 --> 1:03:32.000]  than this consumer iMac screen.
[1:03:32.000 --> 1:03:35.000]  So it's not the people who might be complaining
[1:03:35.000 --> 1:03:38.000]  or people who would bought a Mac Pro but didn't really need one
[1:03:38.000 --> 1:03:40.000]  and just wanted to have a king of the own machine now.
[1:03:40.000 --> 1:03:41.000]  Right. Right.
[1:03:41.000 --> 1:03:45.000]  That's because I do think that's what irks them is that now
[1:03:45.000 --> 1:03:50.000]  until there's a 5K standalone display.
[1:03:50.000 --> 1:03:52.000]  And when that comes out, it won't run on the exit,
[1:03:52.000 --> 1:03:54.000]  you're going to have to get into that pro anyway.
[1:03:54.000 --> 1:03:56.000]  They should have known that going in.
[1:03:56.000 --> 1:03:58.000]  I mean, it's one of the many reasons that I didn't buy one
[1:03:58.000 --> 1:04:00.000]  is like, well, if I was waiting for retina,
[1:04:00.000 --> 1:04:02.000]  this Mac Pro is not the machine because we know what
[1:04:02.000 --> 1:04:03.000]  it's capable of.
[1:04:03.000 --> 1:04:05.000]  You know, Apple didn't even offer any monitors.
[1:04:05.000 --> 1:04:06.000]  I didn't want a third party monitor.
[1:04:06.000 --> 1:04:08.000]  And if I did have a third party monitor, I didn't want it
[1:04:08.000 --> 1:04:09.000]  to be 4K.
[1:04:09.000 --> 1:04:10.000]  I wanted what Apple made here.
[1:04:10.000 --> 1:04:13.000]  I wanted 27 inch, the resolution of my wife's 27 inch
[1:04:13.000 --> 1:04:14.000]  Thunderbolt display.
[1:04:14.000 --> 1:04:17.000]  It just doubled the number of pixels vertically
[1:04:17.000 --> 1:04:18.000]  and horizontally.
[1:04:18.000 --> 1:04:21.000]  Yeah, that's the thing that really blew me away at first.
[1:04:21.000 --> 1:04:24.000]  I was like waiting for the, well, there's got to be a catch.
[1:04:24.000 --> 1:04:27.000]  And then I thought about like with the iPhone 6 Plus
[1:04:27.000 --> 1:04:30.000]  where it's not really 3X retina.
[1:04:30.000 --> 1:04:33.000]  2.8 retina or 2.6.
[1:04:33.000 --> 1:04:36.000]  And they just use scaling to make it work.
[1:04:36.000 --> 1:04:38.000]  And it looks pretty good, but it's still not the same.
[1:04:38.000 --> 1:04:40.000]  I thought, ah, maybe it's like a scaling thing.
[1:04:40.000 --> 1:04:43.000]  And then, you know, they gave the pixel dimensions.
[1:04:43.000 --> 1:04:45.000]  And I'm like, dividing in my head.
[1:04:45.000 --> 1:04:48.000]  I'm like, ooh, that sounds like actual 2X retina.
[1:04:48.000 --> 1:04:49.000]  You know, and it is.
[1:04:49.000 --> 1:04:52.000]  Yeah, Dell had it announced a monitor with similar specs.
[1:04:52.000 --> 1:04:54.000]  So you, as soon as Dell announced you're like, okay,
[1:04:54.000 --> 1:04:56.000]  well, this, this must be technically possible now
[1:04:56.000 --> 1:04:57.000]  if Dell is going to offer one.
[1:04:57.000 --> 1:04:59.000]  So once it's technically possible, then it's just like
[1:04:59.000 --> 1:05:01.000]  when, when does Apple have a product of this cover?
[1:05:01.000 --> 1:05:04.000]  I mean, if the iMac didn't exist, and Dell comes out with
[1:05:04.000 --> 1:05:07.000]  this monitor, the current Mac Pros can't drive
[1:05:07.000 --> 1:05:10.000]  with a single cable and might not be able to drive with two
[1:05:10.000 --> 1:05:13.000]  depending on how they did it, then we just put all been waiting.
[1:05:13.000 --> 1:05:14.000]  And we'd be like, well, Dell's got these monitors,
[1:05:14.000 --> 1:05:15.000]  but we can't have them.
[1:05:15.000 --> 1:05:19.000]  But the iMac does exist in a gave Apple an opportunity to,
[1:05:19.000 --> 1:05:22.000]  you know, we can get as soon as those displays are available,
[1:05:22.000 --> 1:05:23.000]  we got to get one into one hour machines.
[1:05:23.000 --> 1:05:25.000]  I mean, iMac is the way to make that happen.
[1:05:25.000 --> 1:05:27.000]  Yeah, so fame is, you know, knock on wood.
[1:05:27.000 --> 1:05:31.000]  Let's wait until I actually take it out and set it up and use it.
[1:05:31.000 --> 1:05:34.000]  But on paper at least, and from what I've seen in person,
[1:05:34.000 --> 1:05:38.000]  this is the Mac I've been waiting for close to 10 years.
[1:05:38.000 --> 1:05:40.000]  You know, it's going to be a big upgrade.
[1:05:40.000 --> 1:05:41.000]  Oh, huge upgrade.
[1:05:41.000 --> 1:05:45.000]  Ever since I remember when they first started talking about a
[1:05:45.000 --> 1:05:50.000]  WWDC in maybe 2006, 2007, but when they called it,
[1:05:50.000 --> 1:05:53.000]  what did they call it before they had the word retina?
[1:05:53.000 --> 1:05:58.000]  High DPI resolution independent scalable UI resolution independence
[1:05:58.000 --> 1:06:00.000]  was the thing.
[1:06:00.000 --> 1:06:04.000]  And I remember, because I mentioned this too, like my fellow obsessive
[1:06:04.000 --> 1:06:07.000]  on resolution independence is cable sassar at panic.
[1:06:07.000 --> 1:06:11.000]  And I remember going to the session at WWDC with him,
[1:06:11.000 --> 1:06:13.000]  and we came out so excited.
[1:06:13.000 --> 1:06:16.000]  And he was like, we're going to, we're going to redo all the graphics
[1:06:16.000 --> 1:06:18.000]  and all of our apps is PDFs.
[1:06:18.000 --> 1:06:19.000]  And they did.
[1:06:19.000 --> 1:06:23.000]  In fact, they, like panic started shipping apps with with scalable
[1:06:23.000 --> 1:06:27.000]  PDF icons and stuff like that inside for toolbars and stuff
[1:06:27.000 --> 1:06:31.000]  like that years ago, because cable and I both convinced
[1:06:31.000 --> 1:06:34.000]  ourselves, I don't even know what we were thinking.
[1:06:34.000 --> 1:06:36.000]  I mean, it's not, it's not just you like app.
[1:06:36.000 --> 1:06:38.000]  Like if you go back through my old OS 10 reviews, Apple made
[1:06:38.000 --> 1:06:39.000]  promises.
[1:06:39.000 --> 1:06:42.000]  They're like by 2008, our whole product line will be resolution
[1:06:42.000 --> 1:06:43.000]  independence.
[1:06:43.000 --> 1:06:44.000]  So get rid of it.
[1:06:44.000 --> 1:06:45.000]  I was like 2006 when they said it.
[1:06:45.000 --> 1:06:48.000]  I think they gave it, they gave a year and a date and like every
[1:06:48.000 --> 1:06:51.000]  year, like there used to be a section in my OS 10 reviews is like,
[1:06:51.000 --> 1:06:52.000]  you know, resolution independence.
[1:06:52.000 --> 1:06:53.000]  How's that going along?
[1:06:53.000 --> 1:06:56.000]  And that would take a little screenshot of text edit in like two
[1:06:56.000 --> 1:06:57.000]  X mode or 1.5 X mode.
[1:06:57.000 --> 1:06:59.000]  And you see what a train racket is, you know, like, and that's
[1:06:59.000 --> 1:07:01.000]  why this is still not a user facing picture.
[1:07:01.000 --> 1:07:02.000]  See you next year.
[1:07:02.000 --> 1:07:06.000]  We just convinced ourselves that the like retina IMAX
[1:07:06.000 --> 1:07:08.000]  were going to be coming out in like 2008.
[1:07:08.000 --> 1:07:09.000]  And we were so excited.
[1:07:09.000 --> 1:07:12.000]  We wanted to get in line to buy one then.
[1:07:12.000 --> 1:07:14.000]  And it took until now.
[1:07:14.000 --> 1:07:17.000]  Just I mean, it was so much easier to make the iPhone
[1:07:17.000 --> 1:07:18.000]  screen.
[1:07:18.000 --> 1:07:19.000]  It's way smaller.
[1:07:19.000 --> 1:07:20.000]  It's fewer pixels.
[1:07:20.000 --> 1:07:21.000]  And it's just so hard to make it that density.
[1:07:21.000 --> 1:07:24.000]  You know, so we had to wait a long time before it was
[1:07:24.000 --> 1:07:26.000]  economically feasible to make a screen this massive.
[1:07:26.000 --> 1:07:28.000]  I mean, that was the whole thing with the retina.
[1:07:28.000 --> 1:07:30.000]  It's like, well, maybe they couldn't do this earlier.
[1:07:30.000 --> 1:07:32.000]  Like maybe they'll just do it for the 21 inch on Zach.
[1:07:32.000 --> 1:07:33.000]  Right.
[1:07:33.000 --> 1:07:35.000]  Cause they could have gone that they could have probably made that
[1:07:35.000 --> 1:07:36.000]  one retina sooner.
[1:07:36.000 --> 1:07:38.000]  It would have been like 4Kish or 3Kish type of resolution.
[1:07:38.000 --> 1:07:41.000]  But no, they went for the whole inch a lot of.
[1:07:41.000 --> 1:07:42.000]  Yeah.
[1:07:42.000 --> 1:07:44.000]  And it's really as far as I can tell, no compromise.
[1:07:44.000 --> 1:07:47.000]  It's, you know, in terms of the number of pixels, the way they're
[1:07:47.000 --> 1:07:51.000]  doing it, you know, that there's no, no cheapening out on it.
[1:07:51.000 --> 1:07:52.000]  It's super bright.
[1:07:52.000 --> 1:07:54.000]  It's amazing to me.
[1:07:54.000 --> 1:07:55.000]  Cause that was the other thing too.
[1:07:55.000 --> 1:08:00.000]  During the event last week, after, you know, Phil gave the
[1:08:00.000 --> 1:08:02.000]  specs and the size.
[1:08:02.000 --> 1:08:06.000]  And, you know, I thought, well, you know what, it's going to be
[1:08:06.000 --> 1:08:07.000]  power.
[1:08:07.000 --> 1:08:08.000]  It's going to be this thing.
[1:08:08.000 --> 1:08:09.000]  Cause that's, you know, it's a huge problem.
[1:08:09.000 --> 1:08:10.000]  All these pixels lighting up.
[1:08:10.000 --> 1:08:12.000]  Is this thing going to get super hot.
[1:08:12.000 --> 1:08:16.000]  And instead, it takes less power, which is crazy.
[1:08:16.000 --> 1:08:17.000]  Yeah.
[1:08:17.000 --> 1:08:20.000]  That's the thing that maybe feels good about the machine.
