[00:00.000 --> 00:03.640]  So live in life one I'll tell you yeah, you know
[1:02:02.740 --> 1:02:07.300]  Right, so that is yeah, I don't know Apple care plus I guess I guess you know
[1:02:07.300 --> 1:02:10.260]  I guess you know I do think I honestly think that that's a
[1:02:11.460 --> 1:02:14.660]  Probably more than anything. I mean there's a performance angle too
[1:02:14.660 --> 1:02:19.460]  We're clearly performance wise. This is not a MacBook Pro. I mean so if you're doing serious
[1:02:19.460 --> 1:02:21.460]  performance
[1:02:22.180 --> 1:02:30.580]  You know heavy stuff compiling stuff with Xcode or something or doing, you know video editing or anything that might strain your your computer
[1:02:31.460 --> 1:02:37.540]  No, you probably still want a MacBook Pro, but in terms of right clearly this is position more against the errors than the pros
[1:02:37.860 --> 1:02:40.900]  Not price wise, but for sure and so for sure, you know use case scenario
[1:02:40.900 --> 1:02:48.100]  I would say the number one which one should you get question is how often do you use your laptop?
[1:02:48.100 --> 1:02:50.100]  While it's plugged in
[1:02:50.820 --> 1:02:55.780]  You know I cuz I do think I think the comparison to an iPad is apt. I think that's why they've done it
[1:02:55.780 --> 1:02:59.620]  It's oh, I see what you're saying with that. Yeah, and yeah
[1:02:59.620 --> 1:03:04.420]  I get it their answer to why isn't there a max if on this and I'm not putting words in their mouth
[1:03:04.420 --> 1:03:08.660]  But the general answer would seem to me is you don't plug this thing in right? You don't use it plugged in
[1:03:08.660 --> 1:03:13.100]  So let's say you're a college student and you're you don't even take your adapter with you
[1:03:13.100 --> 1:03:19.580]  You keep it in your dorm room and you in the morning you leave your dorm room with a fully charged MacBook Air and
[1:03:19.900 --> 1:03:22.220]  You don't plug it in again until you
[1:03:23.020 --> 1:03:26.620]  Come back from classes at the end of the afternoon. It doesn't matter right?
[1:03:26.620 --> 1:03:31.980]  I think there's a lot of people who use them in that context. I know in our context though like the
[1:03:32.700 --> 1:03:35.100]  You know with the MacBook Air as the sort of default
[1:03:36.220 --> 1:03:37.740]  reporters
[1:03:37.740 --> 1:03:43.020]  Laptop I mean I mean it's not even sort of I mean it's infamous no it is yeah
[1:03:43.020 --> 1:03:49.380]  Because even you know people even take pictures at like Microsoft events and you take a look at the press and it's all these Apple logos lit up
[1:03:51.020 --> 1:03:53.020]  It's but they're you know
[1:03:54.860 --> 1:03:59.820]  We need plugs though because we're using them so so much, you know, we're yeah
[1:03:59.820 --> 1:04:06.460]  You're using the the wireless network which is typically crushed and so it's harder for the radio the work radio is working harder
[1:04:06.460 --> 1:04:08.460]  I will say this though
[1:04:09.020 --> 1:04:14.540]  Battery-wise I could tell you when it changed for me this latest the latest MacBook that I have is a
[1:04:15.900 --> 1:04:17.900]  2013 model and
[1:04:18.620 --> 1:04:21.580]  That MacBook changed everything for me the air
[1:04:22.380 --> 1:04:26.700]  As far as battery goes. I don't really plug in or worry about plugs at events anymore
[1:04:26.940 --> 1:04:29.420]  As I remember I was covering WWDC in
[1:04:30.860 --> 1:04:32.860]  2012 or maybe
[1:04:32.860 --> 1:04:39.500]  2013 I can't remember what any I was like a 2011 MacBook right and I knew for a fact that that thing was not going to last all the way through and
[1:04:39.980 --> 1:04:44.140]  I was covering it at a time when I wasn't invited to any Apple events
[1:04:44.140 --> 1:04:50.780]  So I just got in line with everybody else and you know covered it from the crowd from way back in the crowd or whatever and did a whole
[1:04:50.780 --> 1:04:56.940]  Live blog thing and my battery ran out with about 10 minutes left. It was the it was the one where they were doing maps
[1:04:57.900 --> 1:05:02.460]  It was the one where they're introducing Apple maps and my battery ran right before it started
[1:05:02.460 --> 1:05:09.540]  Just a couple of apps. It's a head to plug the rest of from my phone. I was essentially a nightmare. It was a WWE DC
[1:05:09.540 --> 1:05:11.780]  Yeah, it was a force or stall introduction
[1:05:12.700 --> 1:05:19.900]  Exactly. Yeah, and so if my battery just went and I knew it was going obviously and there was no plugs because they only provide plugs for the
[1:05:19.900 --> 1:05:25.900]  Reporters in their special, you know section up front and so they don't provide plugs for anybody else because they're supposed to be sitting there watching
[1:05:25.900 --> 1:05:27.900]  Maybe I've never got my plug. I
[1:05:27.900 --> 1:05:33.900]  I think that's news to me that there's plugs up front. I don't know. Yeah, there are plugs up there
[1:05:33.900 --> 1:05:36.780]  You got a fight for him everybody everybody jostles for them
[1:05:37.820 --> 1:05:40.540]  But yeah, I remember getting the new one and
[1:05:41.020 --> 1:05:46.340]  From that point on I have no longer worried about it and that's it and as you mentioned that's an intense scenario, right?
[1:05:46.900 --> 1:05:50.540]  You know hardcore wireless network your posting pictures your downloading stuff
[1:05:50.540 --> 1:05:54.260]  You maybe even tethering and so your phone is charging off of your laptop
[1:05:54.260 --> 1:05:58.020]  You know all of this stuff and never never have a had a problem, you know
[1:05:58.020 --> 1:06:00.340]  I think that it's it was a significant difference
[1:06:00.340 --> 1:06:05.300]  So that means with this new one, you know, we're taking a step back a little bit
[1:06:05.860 --> 1:06:09.460]  Power-wise, but battery-wise. I think we actually may be in the same ballpark
[1:06:09.780 --> 1:06:16.100]  So it may be one of the scenarios where you can get through events and things and your day even without having to
[1:06:16.100 --> 1:06:23.300]  Yeah, I'm with you there like I might my laptop for years was a March 2011 11 inch air
[1:06:23.860 --> 1:06:29.460]  And I've said this on the show many times it was the last air before the 11 inch got the light-up keyboard
[1:06:29.540 --> 1:06:34.020]  So I had the the last 11 inch air that had a not lit-up keyboard
[1:06:34.740 --> 1:06:38.340]  And it was great and it was you know so light and portable, but you know
[1:06:38.660 --> 1:06:44.260]  The battery life was sort of a struggle on days like a WWE and I don't even I don't even use it during the key notes
[1:06:44.260 --> 1:06:47.380]  I don't even do live blogging during the key notes, but just you know
[1:06:48.740 --> 1:06:54.180]  Trying to follow along with the news read all the stuff after the event and like you said
[1:06:54.180 --> 1:06:58.180]  I think that the fact that the the cellular and Wi-Fi networks are always
[1:06:58.900 --> 1:07:02.580]  You know under an avalanche makes the antenna struggle
[1:07:03.540 --> 1:07:06.020]  But the big thing for me was always to get through a day like that
[1:07:06.020 --> 1:07:09.540]  I would turn the brightness all the way down as low as I could still read it
[1:07:09.540 --> 1:07:15.700]  It was the display and you're craning towards the screen. Yeah, and so last year late in the year
[1:07:15.700 --> 1:07:17.060]  I bought
[1:07:17.060 --> 1:07:25.140]  Sadly now one generation behind the 13 inch MacBook Pro instead of an air because I was sick of the I don't care about the weight
[1:07:25.140 --> 1:07:26.740]  I just wanted a better machine
[1:07:26.740 --> 1:07:29.060]  And I have to say I'm with you the battery life now
[1:07:29.060 --> 1:07:33.460]  I've I don't know that I've ever even gone into the red. I don't think I've even gone to 20%
[1:07:34.740 --> 1:07:36.660]  It's easy to go very very rarely
[1:07:36.660 --> 1:07:41.380]  I mean the only time it happens is because I think I overestimate health how
[1:07:42.260 --> 1:07:46.260]  Far I can take it, you know, I won't charge it for two or three days or something like that
[1:07:46.260 --> 1:07:47.620]  I'll be like oh, it's low
[1:07:47.620 --> 1:07:50.420]  But yeah, very very rarely do I ever run up against anymore
[1:07:50.420 --> 1:07:54.500]  I think they they finally cross that threshold and like no it's not sad
[1:07:54.500 --> 1:07:59.060]  But the this the funny thing about this is that we all complain about battery life
[1:07:59.460 --> 1:08:03.460]  Until it's good enough and then it everybody just stops talking about it
[1:08:03.460 --> 1:08:07.540]  So you never really know when that threshold was crossed. You kind of have to think back
[1:08:07.540 --> 1:08:09.540]  Like when did I stop complaining?
[1:08:09.540 --> 1:08:15.540]  Yeah, and I think that that's that's it we crossed that Rubicon with this like 2013 air
[1:08:15.540 --> 1:08:21.700]  Yeah, and one of the things about the new MacBook that really stood out to me was when Shuler said that with the new screen
[1:08:21.700 --> 1:08:26.900]  Technology that it's a 30% reduction in power draw for the same brightness level
[1:08:27.860 --> 1:08:30.500]  That's huge. That's a huge step up and like I said
[1:08:30.500 --> 1:08:37.140]  The number one thing that I used to do first thing I did to if I knew I was gonna have a stressful day on the battery
[1:08:37.140 --> 1:08:40.500]  It was turned to brightness down, you know, the screen is still and it's you know
[1:08:40.500 --> 1:08:45.540]  It's true for phones. It's true for everything screens are huge power draws and
[1:08:46.500 --> 1:08:51.540]  Going retina only you know across the board only makes it worse because you know
[1:08:51.540 --> 1:08:55.380]  It's it's not just the dimensions the size. It's the number of pixels
