[00:00.000 --> 00:04.520]  In the old days if if I were gonna have a show it would we would have to be together
[01:04:56.720 --> 01:05:03.720]  If you need Wi-Fi, if you're unhappy with your Wi-Fi, if you need new Wi-Fi, you'd be silly not to check it out.
[01:05:03.720 --> 01:05:07.720]  What they do is they recommend one Ero for every thousand square feet of your home.
[01:05:07.720 --> 01:05:13.720]  Three-pack's a good starting point. You can always buy more, and you can hook up ten in total if you need to.
[01:05:13.720 --> 01:05:25.720]  So here's what you do. Go to ero.com and use the code. Actually, you know what? Forget the code. Screw it.
[01:05:25.720 --> 01:05:33.720]  Here's what they've done. They've gotten rid of these codes, and to celebrate their first birthday, what they've done is they've just dropped their prices permanently.
[01:05:33.720 --> 01:05:41.720]  So instead of using a code, you just go to ero.com, and now you can get a three-pack for just $399. It used to be $499.
[01:05:41.720 --> 01:05:46.720]  And you can get a two-pack for $299. That used to be $50 more.
[01:05:46.720 --> 01:05:52.720]  So to get Eero at this new price, just go to ero.com, and you can get them at Best Buy or even Amazon if you want. They don't care.
[01:05:52.720 --> 01:06:00.720]  They don't even care if you buy them direct. So if you need Wi-Fi, get an Eero. Love this product.
[01:06:00.720 --> 01:06:06.720]  I feel like you and I talked about Eero before they were a sponsor of your podcast, which is nice.
[01:06:06.720 --> 01:06:13.720]  I remember the first time I—you know what? I'll get back to the point I wanted to make about iPad. I've got my finger in the air. This is my reminder.
[01:06:13.720 --> 01:06:17.720]  I know the point I want to make. But we could go on a digression right now.
[01:06:17.720 --> 01:06:23.720]  I remember the first time I heard about Eero was I read it in Walt Mossberg's column.
[01:06:23.720 --> 01:06:29.720]  And I read his description of it, and I knew that I was suffering from the problem that he was talking about.
[01:06:29.720 --> 01:06:39.720]  For years, I had an Apple, AirPort, whatever, the best Apple—and I think it's still the most recent one, because they haven't updated it in years.
[01:06:39.720 --> 01:06:40.720]  The one that's—
[01:06:40.720 --> 01:06:41.720]  AirPort Extreme.
[01:06:41.720 --> 01:06:42.720]  Yeah, the one that's real tall.
[01:06:42.720 --> 01:06:45.720]  Yeah, I have the same one. I had the same one. Now I have Eero. Same thing.
[01:06:45.720 --> 01:06:53.720]  I had it on the second floor, our living room, of a four-floor residence. And it was okay.
[01:06:53.720 --> 01:07:01.720]  And my office was one floor up, and it got pretty good Wi-Fi. Our master bedroom on the fourth floor, eh, it wasn't bad.
[01:07:01.720 --> 01:07:09.720]  It wasn't like it was with this Comcast router. But it wasn't great.
[01:07:09.720 --> 01:07:14.720]  And for whatever reason, our garage on the first floor, one floor down, got no signal whatsoever.
[01:07:14.720 --> 01:07:20.720]  I don't know if it's because the garage had insulation. I don't know what the heck it was.
[01:07:20.720 --> 01:07:25.720]  I read Walt's column, and I was like, this sounds amazing, because A, it solves a problem I have.
[01:07:25.720 --> 01:07:33.720]  But B, he's telling me that I don't have to configure. There's no—you don't go into an admin interface and start typing in IP numbers.
[01:07:33.720 --> 01:07:40.720]  You don't start picking channels. You don't have to set one of them in bridge mode and one of them in something mode.
[01:07:40.720 --> 01:07:47.720]  You just hook them up and tap buttons in the app as you hook them up around your house and follow their general advice of where best to put them.
[01:07:47.720 --> 01:07:52.720]  And then all of a sudden, you've got a network that every room in your house has good internet.
[01:07:52.720 --> 01:07:59.720]  I was like, that sounds so amazing. And it was the literal truth. It's the exact experience of using it.
[01:07:59.720 --> 01:08:04.720]  And anyway, the digression would be Walt's announcement that he's retiring.
[01:08:04.720 --> 01:08:14.720]  Yeah, obviously significant news within the world in which we inhabit.
[01:08:14.720 --> 01:08:27.720]  It's funny, when I moved to go—so I was working as a web developer down in San Diego and sort of writing on the side just for fun.
[01:08:27.720 --> 01:08:36.720]  And at some point, VentureBeat at the time came calling and wanted me to come up and consider writing full time.
[01:08:36.720 --> 01:08:44.720]  And I just sort of laughed to myself, thinking no one can make a living doing that.
[01:08:44.720 --> 01:08:47.720]  It's almost too good to be true.
[01:08:47.720 --> 01:08:59.720]  And around the same time, I think there had been a profile, or maybe I was even just Googling it, but the story of the rise of Walt Mossberg getting into—
[01:08:59.720 --> 01:09:03.720]  Obviously, it wasn't blogging at the time. It was for the Wall Street Journal.
[01:09:03.720 --> 01:09:09.720]  But sort of making his way into this thing that hadn't existed before.
[01:09:09.720 --> 01:09:14.720]  He was covering politics, and then all of a sudden he decided he was going to cover personal technology.
[01:09:14.720 --> 01:09:25.720]  And again, not blogging exactly, but not too dissimilar from the ideal state for a lot of us, certainly for me at the time.
[01:09:25.720 --> 01:09:30.720]  That's what I aspired to do, something like that.
[01:09:30.720 --> 01:09:35.720]  I just read—I will, I swear to God, put it in the show notes.
[01:09:35.720 --> 01:09:43.720]  There's an interview—I think it just came out today, but if not, it came out last night—an interview with Walt in the Columbia Journalism Review.
[01:09:43.720 --> 01:09:45.720]  Right. I haven't read it yet, but I saved it as well.
[01:09:45.720 --> 01:10:01.720]  At 1991, he was the lead national security correspondent for the Wall Street Journal, which the Columbia Journalism Review says is literally one of the most coveted spots in all of newspaper journalism.
[01:10:01.720 --> 01:10:16.720]  I mean, you could count it on one hand as one of the most prestigious gigs. The Journal, the New York Times, Washington Post, and a handful of the top jobs there would be something like that.
[01:10:16.720 --> 01:10:27.720]  Because national security is of utmost importance, and when something breaks, it becomes—you own the top right corner of the front page of the newspaper.
[01:10:27.720 --> 01:10:31.720]  No breaking news is more important than national security news.
[01:10:31.720 --> 01:10:32.720]  Right.
[01:10:32.720 --> 01:10:46.720]  So he had the job. He obviously had decades ahead of him in his career, and he gave it up to create what was then unheard of, which was in a national major newspaper, a personal technology column.
[01:10:46.720 --> 01:10:54.720]  Everybody—like the CGR said that most people in the industry, news people, were like, what did he do? Why did he get this terrible demotion?
[01:10:54.720 --> 01:11:01.720]  Right. Yeah, I'm trying to think of what the equivalent thing would be today.
[01:11:01.720 --> 01:11:11.720]  And it's hard to come up with something because honestly, it's hard to envision something that would sort of become as pervasive as just technology in general, right?
[01:11:11.720 --> 01:11:19.720]  Like you could say, oh, I'm going to stop the Apple beat because I want to write about Bitcoin.
[01:11:19.720 --> 01:11:27.720]  And people would be like, but you're covering the most valuable company in the world. Why do you want to write about sort of this nascent technology thing?
