[00:00.000 --> 00:05.600]  It's a very special week for you. You're now on the on the door for both Google and Microsoft
[2:12:30.760 --> 2:12:36.040]  That's it. I don't know if that's here. Here's an email from Apple. Oh
[2:12:36.920 --> 2:12:39.480]  Apparently the eye watch is coming on September 9th
[2:12:41.560 --> 2:12:43.560]  Where's the show headers? Oh?
[2:12:43.560 --> 2:12:46.920]  I see Oracle communications messaging server. Yeah
[2:12:47.880 --> 2:12:49.880]  So that's not exchange. No
[2:12:51.000 --> 2:12:57.560]  Yeah, that's what I see too Oracle communication messaging server. All right, so there we go good. There you go Oracle
[2:12:57.560 --> 2:13:04.440]  Yeah, it's Larry Ellison. It's can you imagine how that deal got done?
[2:13:05.640 --> 2:13:07.880]  Yeah, there's a there was a yacht involved
[2:13:09.240 --> 2:13:11.240]  two people yeah
[2:13:11.960 --> 2:13:14.520]  You're moving your email to Oracle
[2:13:16.200 --> 2:13:19.880]  Anything else what else you got cubs are are decent again
[2:13:21.800 --> 2:13:25.640]  What are they I've missed that if that's true? No, they're well there in last place
[2:13:25.640 --> 2:13:31.640]  But they just called up the number one prospect and so he he hit a game-winning home run his first day
[2:13:32.760 --> 2:13:36.600]  His first major league hit was a game-winning home run. What is it? What's position does he play?
[2:13:37.240 --> 2:13:39.960]  I think he's playing second. I think he's a shortstop
[2:13:41.320 --> 2:13:46.440]  Yeah, I've heard about him. So I've been watching the games and it's finally exciting. They're they're not gonna be good
[2:13:47.240 --> 2:13:49.800]  probably for a year or two
[2:13:49.800 --> 2:13:56.280]  I'm guessing 2016 you got they have a shot you got faith though. You think they're in a well. No, I mean come on
[2:13:56.280 --> 2:13:58.840]  I've I've now gotten to the point where I'm
[2:13:59.800 --> 2:14:05.960]  Just you know, we'll see what show me the actual world series like and I'll see like when they were in the NLCS
[2:14:05.960 --> 2:14:12.280]  I was still very skeptical. You know when you grow up with this you're like and it's kind of spread over in the
[2:14:13.080 --> 2:14:15.160]  Kind of how I see all kinds of stuff, but just
[2:14:15.960 --> 2:14:17.800]  We'll see what we'll see when it actually happens
[2:14:17.800 --> 2:14:22.600]  But it's you know exciting to watch because they used to love watching games and they've just been so bad for so long
[2:14:22.600 --> 2:14:25.400]  That I haven't even bothered. I didn't even sign up for
[2:14:26.200 --> 2:14:28.200]  MLB TV this year until
[2:14:28.440 --> 2:14:30.840]  Last week, so do you get a discount on that?
[2:14:31.800 --> 2:14:37.880]  Uh, no because I did the monthly which I think is always gonna be the same price, but if you sign up for the year
[2:14:38.520 --> 2:14:40.520]  I don't know, but
[2:14:40.520 --> 2:14:41.640]  You should
[2:14:41.640 --> 2:14:44.440]  Yeah, well, it's great. Well, it's a fantastic deal for me
[2:14:44.440 --> 2:14:49.320]  I've said this over and over. I mean if your favorite team is out of town. It's an amazing deal if your favorite team is in town
[2:14:49.320 --> 2:14:52.840]  It's it's questionable. They should they should have a different tier
[2:14:53.480 --> 2:14:57.080]  They should have like a tier for people who are fans of the in in game
[2:14:57.560 --> 2:14:59.400]  In town team or you pay less
[2:14:59.480 --> 2:15:04.360]  But you can only watch so many games a year because like and then when you go on vacation you can watch well
[2:15:04.360 --> 2:15:11.560]  What they did was the Yankees did a deal with I think one of the cable providers, so you could
[2:15:11.560 --> 2:15:17.400]  Sign up for MLB TV, but you had to pay through some maybe through the K
[2:15:17.400 --> 2:15:20.760]  I don't know. It was crazy. It was like and it was more expensive. I think
[2:15:22.360 --> 2:15:27.720]  This is one of those things where you're like these guys are not thinking about their customers at all and
[2:15:28.760 --> 2:15:30.760]  But it was some weird
[2:15:30.760 --> 2:15:35.880]  Thing I think with cable vision maybe where you could sign up. I don't know. Obviously. I didn't do it
[2:15:35.880 --> 2:15:41.000]  But you know, I'll tell you I don't want to say this because you're a friend and you're a frequent guest on the show
[2:15:41.800 --> 2:15:46.920]  But I mean it is that in in the last couple of months. I I've found more and more good stuff at
[2:15:47.400 --> 2:15:48.440]  Quartz
[2:15:48.440 --> 2:15:51.720]  Yeah, we're we're trying hard. We uh, we're expanding
[2:15:52.760 --> 2:15:57.080]  There's an opening on my team if you want to be a science writer in New York
[2:15:57.560 --> 2:16:03.720]  Um, and we're also working on getting someone in San Francisco to write tech for us. So but it's it's great
[2:16:03.720 --> 2:16:05.720]  I really like it. You know, I I uh
[2:16:06.600 --> 2:16:09.640]  Wasn't really looking for a day job, but I found a great one
[2:16:09.640 --> 2:16:14.520]  And I'm really happy there and there is really good stuff on the site. Yeah, I have a I have a piece
[2:16:14.520 --> 2:16:19.720]  I haven't posted yet. It's it will probably be the first post tomorrow queued up
[2:16:20.680 --> 2:16:22.680]  by Lily is a quote
[2:16:23.640 --> 2:16:26.680]  K you oh, I guess so um
[2:16:27.880 --> 2:16:28.760]  On
[2:16:28.760 --> 2:16:30.760]  Chinese regulation of social media
[2:16:30.760 --> 2:16:33.960]  It's on quartz really good article. I thought I
[2:16:34.520 --> 2:16:39.640]  Have not read that one yet, so I'll wait to find it on daring farm. It was in a show up in your referral
[2:16:40.760 --> 2:16:44.920]  Anyway, good stuff there. Dan is uh, uh, I think killing it over there
[2:16:45.400 --> 2:16:50.200]  Um, so it's been fun. It's good to be back in the saddle at the qz.com
[2:16:50.600 --> 2:16:52.600]  um, and
[2:16:53.000 --> 2:16:55.000]  City, you know, it's of course is still a thing
[2:16:55.560 --> 2:16:58.120]  Yeah, we should have a new app out sometime this year
[2:16:58.600 --> 2:16:59.800]  um
[2:16:59.800 --> 2:17:05.480]  Hopefully sooner than the end of the year. So stay tuned for that. Yeah same time as the moto 270
[2:17:05.880 --> 2:17:07.080]  Yeah, right?
[2:17:07.240 --> 2:17:13.320]  Just follow me on Twitter from dome and you'll get updates and all the stuff that I'm working on all right
[2:17:13.320 --> 2:17:31.240]  Well, that's great. So thanks for being here and uh, thank you. Talk to you soon
