[00:00.000 --> 00:04.520]  Still there. Oh, yeah, you know what it did it. Oh, you sound so much better
[56:33.300 --> 56:36.260]  Like they've done studies said that you go at them with the most factual
[56:37.140 --> 56:43.820]  statistical approach of this relative safety of immunizations and the fact that you know, the the
[56:44.580 --> 56:47.820]  How horrible it is, you know measles can can make you blind
[56:47.820 --> 56:56.380]  Killed people. I think they said I'm just 40 46 people a day die from measles around what something like that around the world
[56:57.300 --> 57:03.740]  And you give them these facts and the people who don't want to vaccinate their kids get the facts and they come out of it
[57:03.780 --> 57:08.360]  More can I heard this I did hear that but you know facts are slippery things
[57:08.820 --> 57:11.500]  And I mean if somebody that you didn't trust
[57:11.580 --> 57:16.580]  Let's be honest if somebody you didn't trust that you considered to be a mouthpiece for an organization
[57:16.580 --> 57:23.300]  some kind of like like the Laramie cigarettes guys on the Simpsons if somebody came to came to you with some information and you knew
[57:23.300 --> 57:24.980]  That they were compromised
[57:24.980 --> 57:31.280]  Even if they gave you what they presented as facts you wouldn't listen to them or you probably wouldn't go look at the primary research
[57:31.280 --> 57:35.540]  Right. I'm you know, I'm the same way. I know what I believe. I know what I think is BS
[57:35.780 --> 57:37.660]  It's just that it's right back to that
[57:37.660 --> 57:43.060]  I think we've talked about this every time that Lakoff book don't think of an elephant if you have you have a certain mental model
[57:43.060 --> 57:49.300]  For how reality works and what relationships are and how you determine what's real and that that overrides or supersedes
[57:49.660 --> 57:52.740]  New information like by an order of magnitude, right?
[57:52.740 --> 57:58.580]  I mean, it's gotta I mean the way that you have conducted yourself in the world for however many n30 some years
[57:58.580 --> 58:02.340]  Whatever is likely to have such I totally buy that
[58:02.380 --> 58:07.780]  You know and what your family believes and what the people around you believe what the people your church believe it's constantly being
[58:08.060 --> 58:10.060]  Reinforced because that's part of your tribe
[58:10.060 --> 58:15.060]  That's what your tribe believes and there's no reason not to I mean, we've all got tribal things like that, right?
[58:15.060 --> 58:18.340]  Yeah, and you like the stupid that you like the Dallas Cowboys. You've got problems of your own
[58:19.020 --> 58:24.060]  that's part of the problem though is that there's there is a sort of tribal behavior where the the
[58:24.980 --> 58:31.460]  Kids who are not immunized tend to be clustered because it spreads and you become friend, you know
[58:31.460 --> 58:34.340]  I mean, we're not like super buddy buddy with any of the other parents at school
[58:34.340 --> 58:36.340]  but you talk to them and you know and it's like
[58:36.340 --> 58:42.340]  You it becomes like a thing where like now like I forget what it the the percentages in Marin County
[58:42.340 --> 58:43.540]  But it's just ridiculous
[58:43.540 --> 58:47.780]  Marin's got a lot of weird outliers Marin also has a used to have as far as I know like a
[58:48.460 --> 58:50.460]  improbably high rate of
[58:51.220 --> 58:55.740]  Breast cancer and I imagine there's ways that you could come up with with why that is that don't involve
[58:55.780 --> 59:00.220]  You know high power lines or something. It could be that they're getting detection better or something
[59:00.220 --> 59:02.620]  I don't I don't know but but yeah, yeah Marin
[59:03.140 --> 59:05.140]  Yeah, Marin's a thing. I
[59:05.140 --> 59:10.180]  I remember Scott Simpson said something made me laugh a long time ago when he had a kid and I didn't at the time have
[59:10.180 --> 59:14.260]  A kid and there was a toot he had back back in the in the Favard days
[59:14.620 --> 59:21.780]  He said something like there's two kinds. There's like, you know, two kinds of parents like there's the helicopter parents that are you know
[59:21.780 --> 59:26.500]  More protective than me and I hate them and then there's the the parents who are totally careless with their hit kids and I hate
[59:26.500 --> 59:27.940]  them too, like
[59:27.940 --> 59:33.280]  The way you evaluate everything is based on what you think everybody else is either too permissive or too strict
[59:33.280 --> 59:36.200]  It's so totally true. It's true. They're just a bunch of assholes
[59:38.600 --> 59:44.000]  Their kids and assholies doesn't even know how to tie his shoes and then there's the other kid is, you know, right
[59:44.000 --> 59:49.040]  Look at that guy. What's wrong with these parents? They're maniacs. They're kids a minute. She's come on kid
[59:49.040 --> 59:53.400]  It's it's a jungle gym. Let the kid play. Oh my god. I can't believe you let him get on the job
[59:57.640 --> 01:00:00.880]  Or even with what we want to talk about later like with movies
[01:00:00.880 --> 01:00:07.160]  Like I cannot believe they let their kid watch that or I can't believe that they don't want us to let him watch Harry Potter
[01:00:07.160 --> 01:00:11.640]  You know, oh, oh, this is this is what makes it. I texted you about this this morning
[01:00:11.640 --> 01:00:14.180]  I know we're not getting into it just now but not you know
[01:00:14.180 --> 01:00:17.180]  The way I tried to phrase this to my daughter and we'll come back to this was like, you know
[01:00:17.240 --> 01:00:21.920]  It's it's not just a matter of like, you know me. I like I like facet. I like as they say in academics
[01:00:21.920 --> 01:00:27.900]  I like problematizing I like taking something that seems obvious and figuring out how it's actually a mess and so like with kids and media
[01:00:27.900 --> 01:00:32.920]  It's not just like what do you show your kids? It's like hmm. It's like well, what kinds of stuff?
[01:00:33.040 --> 01:00:40.560]  Do you show your particular kid at what point in their life in what context etc, etc, etc?
[01:00:41.040 --> 01:00:43.120]  Because we all know every kids really different
[01:00:43.120 --> 01:00:44.680]  I mean anybody with two kids
[01:00:44.680 --> 01:00:49.480]  The kind of people who say Google's this kind of company apples this kind of company if you said to them your three kids are
[01:00:49.480 --> 01:00:51.480]  Identical they'd hit you in the face
[01:00:51.720 --> 01:00:56.680]  Because all their kids are special flowers. So I know we'll come back to that. But oh, we're gonna get so much email
[01:00:56.680 --> 01:01:00.320]  We're gonna get a lot of you. Let me take a break. Let's take a break and thank
[01:01:01.440 --> 01:01:08.040]  another one of our sponsors good friends at Harry's now you guys know Harry's they're the people who make
[01:01:09.040 --> 01:01:14.640]  Top-notch men's shaving stuff. They've got razors. They've got razor handles
[01:01:15.560 --> 01:01:20.920]  They've got product, you know, like shaving cream shaving gel aftershave that kind of stuff
[01:01:20.920 --> 01:01:25.560]  And the basic gist behind their story is
[01:01:26.000 --> 01:01:33.240]  That they looked at the market for razors and shaving stuff and saw that it was a mess. It's stuff
[01:01:33.240 --> 01:01:35.360]  That's ugly. It's stuff that's overpriced
[01:01:35.360 --> 01:01:40.600]  It's stuff that's a pain in the ass to buy because you gotta go hit a button and ask somebody to come over with a key
[01:01:40.600 --> 01:01:43.440]  To let you please if I could could I please have some razor blades?
[01:01:44.440 --> 01:01:48.920]  It's like when you remember remember when the compact disc stores used to lock the CD
[01:01:48.920 --> 01:01:54.480]  you know what I love I go to my Walgreens seven times a day and when I go there to buy some goddamn razor blades and
[01:01:54.480 --> 01:01:55.960]  I am a Harry's user now to be honest
[01:01:55.960 --> 01:02:00.280]  But when I go in there to get like if it's I'm traveling and I want to bring this particular razor with me
[01:02:00.280 --> 01:02:01.800]  I go there and it's the same
[01:02:01.800 --> 01:02:06.920]  Dingus kid that I see seven times a day and I say oh could I please have the lesson such, you know?
[01:02:07.240 --> 01:02:11.320]  $75 worth of blades, please. He's like are you ready to check out now? I'm like, no
[01:02:11.320 --> 01:02:15.640]  I want to walk around the store and steal stuff for a while. No, he's got to walk me
[01:02:15.640 --> 01:02:21.600]  All right, the assistant manager wants to walk me to the counter so that I don't steal his precious Gillette's no
[01:02:23.200 --> 01:02:28.680]  Worst I one time I had to I was at your neck of the woods
[01:02:28.680 --> 01:02:33.640]  I was in San Francisco for one of these Apple events or something like that. And I forgot my toothbrush. Well
[01:02:34.840 --> 01:02:36.840]  that's the sort of thing I
[01:02:36.920 --> 01:02:41.240]  Cannot I think not brushing your teeth for two or three days your mouth would feel hard
[01:02:41.240 --> 01:02:42.080]  But you got to take care of it
[01:02:42.080 --> 01:02:46.080]  I guess I probably should have just called down the front desk at the hotel and seeing if they could do it
[01:02:46.080 --> 01:02:49.520]  But I thought well I got to go out anyway, and I went on right there on Market Street, too
[01:02:49.520 --> 01:02:52.840]  I don't know. What is it? Is it a yeah like a CVS or Walgreens?
[01:02:52.880 --> 01:02:59.040]  Yeah, I forget what I get what you know, but I go in there and the goddamn toothbrushes were locked behind those what yeah
