[00:00.480 --> 00:01.920]  You were at CES.
[49:02.980 --> 49:04.780]  I think actually was upfront about this.
[49:04.780 --> 49:07.020]  I don't, I think when they stopped, they, you know,
[49:07.020 --> 49:08.700]  publicly said, we're not, this is the last time
[49:08.700 --> 49:10.760]  we're gonna do a Mac world keynote.
[49:10.760 --> 49:15.760]  It was the year that, it was the year when Steve Jobs
[49:17.580 --> 49:21.060]  fell ill again and ended up going on a medical leave.
[49:21.060 --> 49:25.020]  And he, you know, he, they announced like his medical leave,
[49:25.020 --> 49:27.060]  I forget, it was like December, January.
[49:28.820 --> 49:30.820]  But they said that, you know,
[49:30.820 --> 49:33.380]  Very messily, if you recall.
[49:33.380 --> 49:36.740]  It was handled very poorly, probably because of Steve,
[49:36.740 --> 49:40.420]  you know, that it was his desire for privacy
[49:40.420 --> 49:44.940]  was in direct conflict with the company's need to,
[49:44.940 --> 49:47.500]  they, A, they were giving a keynote at Mac world expo
[49:47.500 --> 49:50.300]  in early January and B, you know,
[49:50.300 --> 49:51.740]  they have certain public obligations
[49:51.740 --> 49:53.740]  regarding the executive leadership.
[49:53.740 --> 49:54.880]  It was all very messy.
[49:56.380 --> 49:58.420]  It's all, you know, obviously it's a moot point now,
[49:58.420 --> 50:01.780]  but I remember though that the, it was announced that
[50:01.780 --> 50:04.340]  A, Phil Schiller will be giving the keynote
[50:04.340 --> 50:06.540]  at Mac world next month and B,
[50:06.540 --> 50:08.380]  this will be the last keynote Apple ever gives
[50:08.380 --> 50:09.540]  at Mac world expo.
[50:09.540 --> 50:13.820]  So they announced that before the Mac world expo,
[50:13.820 --> 50:15.300]  which was in some,
[50:15.300 --> 50:17.300]  some people took that as sort of a Dick move
[50:17.300 --> 50:20.820]  cause it kind of did cast a funereal
[50:21.780 --> 50:23.020]  feel to the whole thing.
[50:23.020 --> 50:24.900]  Cause I gave it, I mean, they were, you know,
[50:24.900 --> 50:26.860]  they still had at least two more Mac worlds after that,
[50:26.860 --> 50:29.460]  but everybody knew at this point that it was going to be a,
[50:29.460 --> 50:32.240]  a greatly diminished Mac world without Apple.
[50:32.240 --> 50:33.820]  But on the other hand, I kind of think,
[50:33.820 --> 50:36.160]  I don't know that it was a Dick move pre-announcing that
[50:36.160 --> 50:39.140]  because I think it gave everybody a chance to soak it up.
[50:39.140 --> 50:40.940]  And it maybe gave people who were like,
[50:40.940 --> 50:42.700]  eh, maybe I'll go, maybe I'll not go.
[50:42.700 --> 50:45.540]  It motivated them to, yeah, I better go.
[50:45.540 --> 50:47.220]  Yeah, that was the only year I went.
[50:47.220 --> 50:51.180]  And it was, it was really cool to be able to see it once.
[50:54.840 --> 50:56.980]  Anything else from CES?
[50:56.980 --> 50:57.820]  I don't think so.
[50:57.820 --> 51:00.220]  I mean, you know, I could go on forever.
[51:00.220 --> 51:02.180]  It was, it was really interesting.
[51:03.060 --> 51:03.900]  It was fun.
[51:03.900 --> 51:05.160]  It was exhausting.
[51:05.160 --> 51:07.900]  And next year you're coming so we can,
[51:07.900 --> 51:10.740]  so someone will play blackjack with me.
[51:10.740 --> 51:12.060]  I can't believe you didn't play any blackjack.
[51:12.060 --> 51:13.500]  How do you not find time for blackjack?
[51:13.500 --> 51:16.020]  Cause it would be like 2 a.m. and I hadn't,
[51:16.020 --> 51:19.140]  you know, it was like, oh, I guess I should go to sleep.
[51:19.140 --> 51:20.380]  See you.
[51:20.380 --> 51:22.100]  Cause the people, you know, the people I was with,
[51:22.100 --> 51:26.440]  they either just want to keep drinking or I don't know.
[51:26.440 --> 51:27.380]  I actually don't know.
[51:27.380 --> 51:29.740]  And there's like some, I think it started ironically,
[51:29.740 --> 51:32.260]  but there's like a lot of the tech writers
[51:32.260 --> 51:35.700]  play piegowl poker, which I also didn't get to play.
[51:35.700 --> 51:38.700]  We were going to, and then I got separated from that group.
[51:38.700 --> 51:42.300]  And I don't know if they ever did or not, but anyway,
[51:42.300 --> 51:43.840]  next year.
[51:43.840 --> 51:46.340]  See that I'm starting to get a sense of how this could
[51:46.340 --> 51:48.980]  happen and why it's inexplicable to me,
[51:48.980 --> 51:51.180]  how you can have like a four day trip to Vegas
[51:51.180 --> 51:52.480]  and not end up playing blackjack.
[51:52.480 --> 51:54.300]  And it sounds to me, and I know you,
[51:54.300 --> 51:55.460]  I think this is probably true.
[51:55.460 --> 51:58.900]  It seems to me that the difference is that you have at least
[51:58.900 --> 52:00.480]  a lick of common sense.
[52:02.220 --> 52:03.740]  I don't know.
[52:03.740 --> 52:04.580]  I don't know.
[52:04.580 --> 52:07.900]  I was, yeah, no, I would have liked to,
[52:08.980 --> 52:10.180]  like last year I was like, oh,
[52:10.180 --> 52:11.300]  I'll just do it the last night.
[52:11.300 --> 52:13.620]  And then the last night it was like 1am and I,
[52:13.620 --> 52:16.540]  I couldn't even put a hundred bucks on the Cubs to win the
[52:16.540 --> 52:17.620]  world series last year.
[52:17.620 --> 52:20.060]  Cause I ran out of time before the sports book closed.
[52:20.060 --> 52:21.760]  Oh, did you get it in this year?
[52:21.760 --> 52:22.600]  No.
[52:22.600 --> 52:24.460]  Or are they not taking, are they not taking those yet?
[52:24.460 --> 52:25.300]  I don't know.
[52:25.300 --> 52:26.620]  I'm sure they're taking them.
[52:28.280 --> 52:29.120]  I don't know.
[52:29.120 --> 52:30.720]  I guess they probably could win this year.
[52:30.720 --> 52:32.460]  I didn't think they were going to win.
[52:32.460 --> 52:34.740]  I didn't think they were going to be even close last year.
[52:34.740 --> 52:36.980]  So they're going to be, I think they're going to be good.
[52:36.980 --> 52:38.200]  They're going to be good.
[52:38.200 --> 52:40.180]  Are they going to be the national league favorites?
[52:40.180 --> 52:43.300]  Maybe could be because it's going to be cardinals have
[52:43.300 --> 52:44.140]  gotten worse.
[52:44.140 --> 52:45.700]  Cardinals have gotten more in the Mets.
[52:45.700 --> 52:46.540]  Come on the Mets.
[52:46.540 --> 52:47.360]  That was a fluke.
[52:47.360 --> 52:48.320]  The Mets have gotten worse already.
[52:48.320 --> 52:50.580]  The Mets have already lost, lost talent.
[52:50.580 --> 52:53.340]  And I don't think they're going to sign cesspitus.
[52:53.340 --> 52:55.940]  They they've metal have pitching and that's it.
[52:55.940 --> 52:58.160]  And then the Dodgers are in turmoil, right?
[52:58.160 --> 52:59.000]  And nobody,
[52:59.000 --> 53:00.340]  I don't think anybody knows what's going to happen with the
[53:00.340 --> 53:02.140]  Dodgers and they're probably worse because they,
[53:02.140 --> 53:03.700]  they lost a what's his name?
[53:03.700 --> 53:04.540]  The pitcher.
[53:05.780 --> 53:08.700]  Oh, uh, what's his name?
[53:09.760 --> 53:11.320]  The guy who used to be on the Royals.
[53:11.320 --> 53:12.160]  Yeah.
[53:12.160 --> 53:13.780]  I forgot.
[53:13.780 --> 53:15.460]  So anyway, I think your cubbies are going to be,
[53:15.460 --> 53:16.780]  I don't think you're going to get good odds.
[53:16.780 --> 53:17.620]  This could be a year.
[53:17.620 --> 53:19.020]  Yeah. That's the thing.
[53:19.020 --> 53:20.420]  It could be the year where you get your,
[53:20.420 --> 53:22.840]  you get your Cubs win the world series ticket and you end up
[53:22.840 --> 53:25.740]  winning like $600 on a hundred dollar bet.
[53:25.740 --> 53:28.300]  Not even, I think it's like four to one or something right
[53:28.300 --> 53:31.020]  now. I think last year it was seven to one.
[53:31.020 --> 53:32.060]  That just doesn't seem right.
[53:32.060 --> 53:33.880]  It seems like even when the Cubs have talent,
[53:33.880 --> 53:36.700]  the Cubs ought to have, there ought to be like, yeah,
[53:36.700 --> 53:37.540]  they're the Cubs.
[53:37.540 --> 53:38.380]  There ought to be like a,
[53:38.380 --> 53:41.260]  they're the Cubs discount on the tickets.
[53:41.260 --> 53:42.100]  And the same way with,
[53:42.100 --> 53:44.500]  with the Yankees that even when the Yankees that look like
[53:44.500 --> 53:45.740]  they're not in a good spot, you know,
[53:45.740 --> 53:46.840]  they don't really have it.
[53:46.840 --> 53:49.340]  The Yankees still should only be like eight to one every
[53:49.340 --> 53:53.500]  year, even if they have no chance because of the Yankees,
[53:54.860 --> 53:55.700]  like you shouldn't really,
[53:55.700 --> 53:57.660]  you should not be able to make a lot of money by betting on
[53:57.660 --> 53:58.860]  the Yankees to win the world series.
[53:58.860 --> 54:00.860]  No, that's practically cheating.
[54:00.860 --> 54:01.700]  Right.
[54:04.580 --> 54:06.420]  That's why I love them.
[54:06.420 --> 54:08.340]  It's like betting on the house.
[54:08.340 --> 54:09.540]  Basically. Yeah.
[54:10.700 --> 54:12.060]  So anyway, basic gist of it.
[54:12.060 --> 54:14.820]  You go to, you go to CES, you go two days early or so,
[54:14.820 --> 54:15.900]  cause you want to go hit these,
[54:15.900 --> 54:17.900]  the keynotes and the announcements.
[54:17.900 --> 54:19.700]  And then you book two days,
[54:20.920 --> 54:23.000]  you stay there for two days to do the show floor.
[54:23.000 --> 54:25.340]  Can you do the whole show floor in two days?
[54:25.340 --> 54:28.260]  You'll, you'll never get, you'll never do the whole thing.
[54:28.260 --> 54:29.660]  You have to pick and choose.
[54:29.660 --> 54:33.100]  Even we didn't get to talking about more than one tiny
[54:33.100 --> 54:34.180]  portion of it.
[54:34.180 --> 54:35.620]  There's the whole convention center,
[54:35.620 --> 54:38.740]  which is like the North central and South halls,
[54:38.740 --> 54:41.380]  each of which have multiple zones.
[54:42.220 --> 54:43.860]  And then there's the West gate too,
[54:43.860 --> 54:45.460]  which is something else I don't even know.
[54:45.460 --> 54:47.100]  I didn't even go to the West gate.
[54:47.100 --> 54:48.380]  I don't know. What the hell is that?
[54:48.380 --> 54:49.660]  That's something else.
[54:49.660 --> 54:50.880]  It's like next door.
[54:52.200 --> 54:53.240]  I've seen the sign.
[54:53.240 --> 54:54.620]  I don't even know what it is though.
[54:54.620 --> 54:56.100]  Is it like a hotel casino?
[54:56.100 --> 54:59.160]  Yeah, I think it's kind of a junky casino hotel with its own
[54:59.160 --> 55:02.940]  convention center and part of CES is in there.
[55:02.940 --> 55:03.780]  Yeah.
[55:05.060 --> 55:06.140]  I think it's so crazy.
[55:06.140 --> 55:07.980]  I, I, I'm going next year.
[55:07.980 --> 55:08.940]  Yeah, you should.
[55:08.940 --> 55:09.780]  I should book it.
[55:09.780 --> 55:10.600]  Let's do it.
[55:10.600 --> 55:11.440]  All right.
[55:11.440 --> 55:12.280]  Stay somewhere nice though.
[55:12.280 --> 55:14.260]  Well, I only stay at the Wynn.
[55:14.260 --> 55:15.500]  Oh, well, all right.
[55:16.700 --> 55:20.740]  That might be a pricey, but when I looked,
[55:20.740 --> 55:22.300]  well, when I looked at it, it had sold out,
[55:22.300 --> 55:24.940]  but I think before that let's all right,
[55:24.940 --> 55:27.660]  we'll figure out how to do this early so that we don't get
[55:27.660 --> 55:31.420]  screwed. But yeah, I wonder what the, I know that they sell,
[55:31.420 --> 55:34.260]  I know that the Wynn and Encore sell out because they're a,
[55:34.260 --> 55:38.520]  they're the best place on the strip and B it's at, I don't,
[55:38.520 --> 55:40.020]  well, there's no ideal location,
[55:40.020 --> 55:44.300]  but it's about as close to ideal as you can get because it's
[55:44.300 --> 55:47.260]  right across the street from the Venetian and the Palazzo,
[55:47.260 --> 55:49.020]  which is the, where the, the, the,
[55:49.020 --> 55:51.740]  that's the casino that's connected to the sands convention
[55:51.740 --> 55:52.580]  center.
[55:52.580 --> 55:56.780]  Yes. And so my guess is that the, you know, the first,
[55:56.780 --> 56:00.740]  like my hotels, the first night was, was $50. And the second,
[56:00.740 --> 56:05.620]  the third and fourth nights were $350. Wow. Yeah.
[56:05.740 --> 56:06.940]  It's like a huge,
[56:06.940 --> 56:11.940]  like just the difference between pre CES and where did you,
[56:12.420 --> 56:16.220]  where did you stay? Well, I stayed, I had to stay at the Flamingo. Oh,
[56:16.220 --> 56:18.380]  that's right. You told me that you did tell me that. Right.
[56:18.380 --> 56:22.700]  And the Flamingo is not, not that great at all. Pretty good location. Yeah.
[56:22.700 --> 56:26.760]  It was well located and it's on the monorail. So that was fine. It was fine.
[56:26.760 --> 56:31.060]  I mean, I stayed in the new tower and it was fine, but, uh,
[56:31.620 --> 56:35.220]  Hey, maybe next year by CES, we'll have the, the Las Vegas city notes.
[56:35.220 --> 56:39.420]  So you'll know where to, uh, where to actually hang out. Yeah.
[56:39.700 --> 56:42.060]  Oh, I know where to hang out. Oh, you know where to hang out. Yeah.
[56:42.140 --> 56:45.620]  I should probably write the Las Vegas city notes. Did you see,
[56:45.620 --> 56:48.540]  I relaunched it now. You've been offline a lot lately. Yeah.
[56:49.100 --> 56:53.040]  If you go to city notes.co, uh, you know, as, uh,
[56:53.500 --> 56:56.500]  I think I, you know, talked about it on the show before, but yeah,
[56:56.500 --> 57:00.740]  the idea was that I was making these apps where, um, if you go,
[57:00.740 --> 57:04.660]  if you're traveling to a city and you just want a short list of like the cool
[57:04.660 --> 57:09.620]  stuff where your cool friend would take you and not the lame touristy stuff
[57:09.660 --> 57:14.540]  or like, you know, fancy, silly stuff, um,
[57:14.780 --> 57:18.020]  did I would just have this list for you. And I did a New York one and I had a
[57:18.020 --> 57:21.100]  San Francisco one and these were iPhone apps that I was selling in the app
[57:21.100 --> 57:25.600]  store. And, um, it was, you know, long story short,
[57:25.600 --> 57:29.460]  it was cumbersome to make and, uh,
[57:29.500 --> 57:33.660]  and update these apps as apps. And it was also not really, you know,
