[00:00.000 --> 00:03.000]  Hello there. Hello.
[55:58.000 --> 56:00.000]  and things like that, it really needs to talk to a phone
[56:00.000 --> 56:02.000]  or a Wi-Fi connection or something,
[56:02.000 --> 56:04.000]  and not be its own little cell phone.
[56:04.000 --> 56:07.000]  But yeah, it's more than an impulse buy.
[56:07.000 --> 56:09.000]  At $400, you really have high expectations
[56:09.000 --> 56:11.000]  of what that device is going to do.
[56:11.000 --> 56:12.000]  The part that made me laugh, though,
[56:12.000 --> 56:18.000]  was the 2010 Wall Street Journal story about Apple's tablet efforts
[56:18.000 --> 56:21.000]  that said that they're considering a $9,000, $99.
[56:21.000 --> 56:24.000]  That's where my thought went to,
[56:24.000 --> 56:27.000]  which is it almost feels like an attempt to set the bar high,
[56:27.000 --> 56:29.000]  so when the real price is revealed,
[56:29.000 --> 56:31.000]  everybody is relieved.
[56:31.000 --> 56:35.000]  Well, I remember at the iPod, there I did it.
[56:35.000 --> 56:39.000]  The iPad intro, original iPad intro.
[56:39.000 --> 56:42.000]  And they are like, you know, the whole spiel, you know,
[56:42.000 --> 56:43.000]  it's got to fit between this and this.
[56:43.000 --> 56:44.000]  There has to be a reason for it.
[56:44.000 --> 56:46.000]  It has to be better than anything that this.
[56:46.000 --> 56:48.000]  And it all made sense, and they showed it,
[56:48.000 --> 56:50.000]  and it was like, wow, that looks great.
[56:50.000 --> 56:52.000]  You know, I cannot wait to see this stuff.
[56:52.000 --> 56:54.000]  This looks super exciting.
[56:54.000 --> 56:55.000]  This looks really cool.
[56:55.000 --> 56:57.000]  And the whole time I was thinking,
[56:57.000 --> 56:59.000]  it's got to be $999.
[56:59.000 --> 57:01.000]  Look at it. It's like a Mac, you know,
[57:01.000 --> 57:02.000]  and it's super thin.
[57:02.000 --> 57:05.000]  And I know that making it that thin is expensive, right?
[57:05.000 --> 57:08.000]  It's like, this thing is cooler than any MacBook.
[57:08.000 --> 57:11.000]  It may not be faster than it because I know it's running arm,
[57:11.000 --> 57:13.000]  but it's cooler than any MacBook.
[57:13.000 --> 57:14.000]  It's got to be $9.99.
[57:14.000 --> 57:16.000]  And then when they, you know,
[57:16.000 --> 57:18.000]  the starting price was $4.99,
[57:18.000 --> 57:21.000]  I remember that room, it was,
[57:21.000 --> 57:23.000]  it was easily the biggest moment,
[57:23.000 --> 57:25.000]  the most exciting moment of that event
[57:25.000 --> 57:27.000]  had nothing to do with the actual iPad.
[57:27.000 --> 57:30.000]  Even though there was lots that was exciting about it,
[57:30.000 --> 57:34.000]  and lots of it, most of it had been completely secret.
[57:34.000 --> 57:36.000]  But when they dropped that price,
[57:36.000 --> 57:38.000]  it was jaw dry.
[57:38.000 --> 57:39.000]  I mean, people gasped.
[57:39.000 --> 57:41.000]  And not just because the device was cool,
[57:41.000 --> 57:44.000]  but because that $9.99 number had come out
[57:44.000 --> 57:46.000]  and the Wall Street Journal ran it.
[57:46.000 --> 57:48.000]  Yeah, everybody was doing those, you know,
[57:48.000 --> 57:50.000]  beard scratching.
[57:50.000 --> 57:52.000]  You know, well, what does it mean?
[57:52.000 --> 57:54.000]  It will people buy it for $9.99.
[57:54.000 --> 57:57.000]  And that was like, yeah, it was all framed around that price.
[57:57.000 --> 57:59.000]  And that's exactly where my mind went with
[57:59.000 --> 58:01.000]  with this wearable rumor.
[58:01.000 --> 58:06.000]  Is that a real price or is that the price that gets out there
[58:06.000 --> 58:09.000]  so that when they announced that it's really $300,
[58:09.000 --> 58:11.000]  instead of saying, wow, $300 is a little pricey,
[58:11.000 --> 58:14.000]  you say, oh my God, I can't believe it's only $300.
[58:14.000 --> 58:15.000]  I don't know whether that's true or not,
[58:15.000 --> 58:17.000]  but it has that feel to it, right?
[58:17.000 --> 58:18.000]  Right.
[58:18.000 --> 58:20.000]  Or even, you know, $199, you know,
[58:20.000 --> 58:23.000]  but certainly it's like, wow, people are going to get in line for it.
[58:23.000 --> 58:27.000]  Because, you know, electronics aside and the gadgetry
[58:27.000 --> 58:30.000]  and all the health sensors and stuff presumably
[58:30.000 --> 58:32.000]  that the thing has.
[58:32.000 --> 58:34.000]  But Fitbits don't cost that much, you know,
[58:34.000 --> 58:40.000]  I mean, there's not, you can't buy like a Rolex for $199.
[58:40.000 --> 58:42.000]  But you can buy what most people will consider
[58:42.000 --> 58:45.000]  a pretty nice watch for $199.
[58:45.000 --> 58:46.000]  Yes.
[58:46.000 --> 58:49.000]  It's, again, it's not jewelry, it's not true luxury,
[58:49.000 --> 58:51.000]  it's mass market luxury.
[58:51.000 --> 58:53.000]  It's like a sweet spot.
[58:53.000 --> 58:57.000]  I actually have a watch in my Amazon shopping cart
[58:57.000 --> 59:00.000]  and because I was thinking of replacing my old watch
[59:00.000 --> 59:02.000]  and it looks pretty nice in its 30 bucks.
[59:02.000 --> 59:05.000]  And then my wife actually instead bought me a watch
[59:05.000 --> 59:08.000]  for our anniversary at like Macy's or something.
[59:08.000 --> 59:10.000]  And it's a very nice watch,
[59:10.000 --> 59:13.000]  but it's probably $150 watch.
[59:13.000 --> 59:14.000]  It's not great.
[59:14.000 --> 59:17.000]  You know, you can go to, yeah, you go to store like Macy's
[59:17.000 --> 59:19.000]  and you know, look at that.
[59:19.000 --> 59:21.000]  So for, you know, at those prices Apple
[59:21.000 --> 59:26.000]  could make, you know, a profitable device.
[59:26.000 --> 59:30.000]  But it's a lot more than most people have spent on watches,
[59:30.000 --> 59:32.000]  you know, so it's, you know,
[59:32.000 --> 59:36.000]  so somebody who does collect, you know, Rolex or Amiga
[59:36.000 --> 59:38.000]  or whatever watches might think,
[59:38.000 --> 59:40.000]  well, $199, that's not really a luxury watch.
[59:40.000 --> 59:42.000]  But most people would think, wow,
[59:42.000 --> 59:44.000]  this is gonna be the most expensive watch I've ever bought,
[59:44.000 --> 59:46.000]  but I can't wait to have it.
[59:46.000 --> 59:48.000]  I could totally see it that way.
[59:48.000 --> 59:51.000]  I don't, you know, I don't know.
[59:51.000 --> 59:54.000]  It's a strange, and the fact that Apple has hired
[59:54.000 --> 59:59.000]  all of these people who come from like luxury brands.
[59:59.000 --> 1:00:02.000]  It makes you wonder on one level
[1:00:02.000 --> 1:00:04.000]  and yet sometimes I think we take that too literally
[1:00:04.000 --> 1:00:07.000]  is like, you know, because on a grand scale Apple
[1:00:07.000 --> 1:00:10.000]  is a luxury brand and that having them,
[1:00:10.000 --> 1:00:13.000]  having them at Apple doesn't necessarily mean
[1:00:13.000 --> 1:00:18.000]  they're making, you know, $1,000 gold smart watch.
[1:00:18.000 --> 1:00:21.000]  It doesn't follow that, that is the case.
[1:00:21.000 --> 1:00:23.000]  But it does make me wonder, you know,
[1:00:23.000 --> 1:00:25.000]  especially since this is replaceable technology,
[1:00:25.000 --> 1:00:28.000]  this is not stuff that's gonna be valid in seven years
[1:00:28.000 --> 1:00:31.000]  or five years maybe or four years even,
[1:00:31.000 --> 1:00:33.000]  what this product is.
[1:00:33.000 --> 1:00:37.000]  Because if it's a luxury product and it's beautiful,
[1:00:37.000 --> 1:00:38.000]  what's its shelf life?
[1:00:38.000 --> 1:00:41.000]  How long is a reasonable amount of time?
[1:00:41.000 --> 1:00:45.000]  I have my dad's Rolex that he bought in Switzerland
[1:00:45.000 --> 1:00:48.000]  in the 60s, in the early 60s, and you know,
[1:00:48.000 --> 1:00:50.000]  I've had it like cleaned and stuff,
[1:00:50.000 --> 1:00:52.000]  but he gave it to me a few years before he died,
[1:00:52.000 --> 1:00:55.000]  and it's beautiful, and you know,
[1:00:55.000 --> 1:00:59.000]  it's from 50 plus years ago and works fine.
[1:00:59.000 --> 1:01:01.000]  These things are not gonna be like that,
[1:01:01.000 --> 1:01:04.000]  even if they're great and made wonderful materials
[1:01:04.000 --> 1:01:06.000]  and that the leather and the metal and all of that is good,
[1:01:06.000 --> 1:01:10.000]  the electronic stuff is gonna be surpassed in a year.
[1:01:10.000 --> 1:01:12.000]  Yeah, and it won't be interesting.
[1:01:12.000 --> 1:01:15.000]  You were not gonna be able to pass that down to your son
[1:01:15.000 --> 1:01:17.000]  and have it be interesting 50 years from now.
[1:01:17.000 --> 1:01:20.000]  No, it might be an interesting like history item,
[1:01:20.000 --> 1:01:23.000]  but it's not gonna be something you would wear for a night out.
[1:01:23.000 --> 1:01:25.000]  Right, and think about this.
[1:01:25.000 --> 1:01:29.000]  Now, circle back to the discussion we just had
[1:01:29.000 --> 1:01:32.000]  about how the word phone has taken a new meaning,
[1:01:32.000 --> 1:01:35.000]  and it doesn't mean, you know, to like what our parents mean.
[1:01:35.000 --> 1:01:38.000]  My dad, you know, thinks a phone is a thing
[1:01:38.000 --> 1:01:40.000]  that's connected to the wall.
[1:01:40.000 --> 1:01:42.000]  That's how we curly-cored.
[1:01:42.000 --> 1:01:47.000]  Right, and it's what he uses to talk to me about baseball.
[1:01:47.000 --> 1:01:51.000]  The same exact thing could happen to the word watch, right?
[1:01:51.000 --> 1:01:55.000]  We're right now today a watch means this thing like you're talking about,
[1:01:55.000 --> 1:01:57.000]  like wherever you talk about a nice watch,
[1:01:57.000 --> 1:02:02.000]  you're talking about a thing that your dad could have bought in 1962,
[1:02:02.000 --> 1:02:07.000]  and which is like still in perfect working order
[1:02:07.000 --> 1:02:12.000]  and serviceable, and has enormous emotional resonance with you
[1:02:12.000 --> 1:02:15.000]  because, you know, he's not with us anymore.
[1:02:15.000 --> 1:02:16.000]  That's right.
[1:02:16.000 --> 1:02:17.000]  No, it's for four years.
[1:02:17.000 --> 1:02:22.000]  Right, so now it's a priceless artifact, right?
[1:02:22.000 --> 1:02:23.000]  Exactly.
[1:02:23.000 --> 1:02:27.000]  The watch could take on a totally new meaning
[1:02:27.000 --> 1:02:31.000]  that evolves past that where even it could happen quickly,
[1:02:31.000 --> 1:02:34.000]  because look how quickly it's happened with the word phone,
[1:02:34.000 --> 1:02:38.000]  or even 10, 15 years from now, watch doesn't mean that anymore.
[1:02:38.000 --> 1:02:41.000]  Watch means computer on your wrist.
[1:02:41.000 --> 1:02:46.000]  Right, computer on your wrist with an expectation that it's collecting data
[1:02:46.000 --> 1:02:51.000]  about your health and it's telling you when something important is happening,
[1:02:51.000 --> 1:02:54.000]  and yeah, it could do that.
[1:02:54.000 --> 1:02:57.000]  I think that's what makes this story so fascinating
[1:02:57.000 --> 1:03:00.000]  because, again, we're looking at something where we've seen some companies try this,
[1:03:00.000 --> 1:03:02.000]  and they've done some interesting things.
[1:03:02.000 --> 1:03:05.000]  They're definitely interesting.
[1:03:05.000 --> 1:03:08.000]  The pieces are all there for something interesting,
[1:03:08.000 --> 1:03:10.000]  but there's one, the question of how you mix them together,
[1:03:10.000 --> 1:03:15.000]  and two, is that thing then something that people actually want?
[1:03:15.000 --> 1:03:18.000]  Because I talked to a lot of people who say they don't wear a watch
[1:03:18.000 --> 1:03:20.000]  or they stopped or they never wore a watch,
[1:03:20.000 --> 1:03:23.000]  and so what do you have?
[1:03:23.000 --> 1:03:26.000]  Is Apple trying to motivate people to strap something on their wrist
[1:03:26.000 --> 1:03:29.000]  and what's the value you get out of doing that?
[1:03:29.000 --> 1:03:33.000]  Well, to me, that's a super interesting question
[1:03:33.000 --> 1:03:37.000]  because is it better for you to be a watch wearer already?
[1:03:37.000 --> 1:03:42.000]  And an Apple just has to convince you to get their watch
[1:03:42.000 --> 1:03:45.000]  and replace yours with theirs, or is it better if you're not
[1:03:45.000 --> 1:03:47.000]  and you've got an open wrist?
[1:03:47.000 --> 1:03:49.000]  Watch doesn't mean anything to you.
[1:03:49.000 --> 1:03:51.000]  You've got an open wrist.
[1:03:51.000 --> 1:03:56.000]  They don't even have to convince you that the Apple watch
[1:03:56.000 --> 1:04:00.000]  is better than your fossil watch that you've been wearing for a while
[1:04:00.000 --> 1:04:04.000]  or the Rolex that you're wearing, you know, that costs 10 times more.
[1:04:04.000 --> 1:04:09.000]  If you have an open wrist, maybe it's a wide open thing
[1:04:09.000 --> 1:04:14.000]  because it's solving an entirely different problem.
[1:04:14.000 --> 1:04:20.000]  It's, you know, your fossil watch or your Movado or your Omega
[1:04:20.000 --> 1:04:23.000]  is primarily just telling you the time.
[1:04:23.000 --> 1:04:25.000]  And maybe that's not even what the watch does.
[1:04:25.000 --> 1:04:29.000]  Like, that's one of the things I wonder, like all these other smart watches
[1:04:29.000 --> 1:04:32.000]  start with the idea that by default you just look at the screen
[1:04:32.000 --> 1:04:34.000]  or like with the pebble you have to turn it on.
[1:04:34.000 --> 1:04:35.000]  Right.
[1:04:35.000 --> 1:04:36.000]  The pebble's always on.
[1:04:36.000 --> 1:04:37.000]  Right, it is always on.
[1:04:37.000 --> 1:04:40.000]  But you have to do something to make it light up if it's...
[1:04:40.000 --> 1:04:41.000]  Right, if it's dark.
[1:04:41.000 --> 1:04:42.000]  Right.
[1:04:42.000 --> 1:04:45.000]  But primarily the first thing it's doing is telling you the time.
[1:04:45.000 --> 1:04:46.000]  Yep.
[1:04:46.000 --> 1:04:49.000]  And what if that wasn't the baseline?
[1:04:49.000 --> 1:04:50.000]  Right.
