[00:00.000 --> 00:03.000]  You know, I can't believe I missed the holiday party again.
[01:10:46.000 --> 01:11:02.000]  They they really did figure out a way to do it where you never feel like suddenly your pointing device is gone into a different parallel universe and nothing makes sense anymore like it all held together and I'm impressed by by the kind of care that they took with that stuff.
[01:11:02.000 --> 01:11:12.000]  It's a little thing, but I appreciate so when you go into editing mode the buttons that are there jiggle. It's a little similar to.
[01:11:12.000 --> 01:11:27.000]  You know very similar and it clearly drawn from the home screen customization in iOS where if you want to move your apps around in iOS, you know you hold the home button and you go into the mode and all your apps jiggle.
[01:11:27.000 --> 01:11:31.000]  It's a good way of playing off something people are familiar with.
[01:11:31.000 --> 01:11:50.000]  I feel like that that idea that way if you're going to put them in reorder mode make them you know jiggle around but what I really like is that to me. I think it's it feels just slightly more of a of a serious jiggle than the iOS jiggle like the iOS one to move.
[01:11:50.000 --> 01:12:04.000]  More or less in a goofy way and the kind of twist yeah they twist and the Mac ones just kind of go back and forth and now maybe part of that is that it's just horizontal maybe they you know, but I think they could have made him twist if they wanted to even if it made the corners.
[01:12:04.000 --> 01:12:15.000]  You know go off the top it just feels more appropriate to the Mac in a way that the Mac is is is a more serious platform than iOS.
[01:12:15.000 --> 01:12:33.000]  I do like the personality. I mean that's one of the things I said my review that you quote that you quoted. I always I always have the moment like if John links to me what what part will he quote and and that one was that it's just it's a reporting a true feeling I had which is this has more personality than I thought it would like the Anna.
[01:12:33.000 --> 01:12:52.000]  It has a lot of animations. I think if you just read about this feature you would not imagine that that everything animates and like the touch ID sensor when it comes on there is this arrow and the arrow like stretches like it's made of rubber as it points at the touch ID sensor and it is.
[01:12:52.000 --> 01:13:04.000]  I mean, it's not wacky no, but it is whimsical in a way that it totally didn't need to be and and there's just little stuff like that that I think you know there is there is personality here.
[01:13:04.000 --> 01:13:12.000]  It isn't just this kind of Gray we gave we made you a toolbar enjoy. It's like a little bit more enthusiastic and and and I like that.
[01:13:12.000 --> 01:13:30.000]  I like that it's got person. It's a Mac like whimsical ness though that that touch here to log in with you know touch ID and it and the arrow, you know stretching that to me feels right for the Mac and it should be it would it should be if they did something similar on iOS.
[01:13:30.000 --> 01:13:36.000]  It would be more whimsical and appropriately so yeah, I think I think that's right Horace.
[01:13:36.000 --> 01:13:47.000]  I quoted this thing that Horace did you wrote a week or two ago where he wrote a piece about see if I can find it here.
[01:13:47.000 --> 01:14:07.000]  I love that piece I did too, but you know, where's Apple going with the Macintosh and you know an analogy about you know, why isn't the Mac a touch screen and I'll put the link again in the show notes. So anybody who hasn't read it can do it where for art though Macintosh, but he wrote.
[01:14:07.000 --> 01:14:14.000]  Let's see if I can find the quote.
[01:14:14.000 --> 01:14:28.000]  It cannot take on the role of being the future. He's talking about the Mac that belongs to the touch screen devices. It will not morph into a touch screen device any more than a tech a teen's parent will become cool by putting on skinny jeans.
[01:14:28.000 --> 01:14:31.000]  What it will do is become better.
[01:14:31.000 --> 01:14:45.000]  At what it is hired to do I'll put a link in the show notes is I promise I'm doing it right now. I'm copying pasting. I'm so infamous for saying I'll put something here is copy.
[01:14:45.000 --> 01:15:03.000]  The it's great. I mean, I wrote a piece about the same time called like parallel or perpendicular philosophy and it's the same thing. It's like why does Microsoft insist on doing these touch screen things and everybody's like Oh God. I can't believe Apple's not doing him. It's like well number one reason is Apple already has a touch screen OS. So what Apple is doing is differentiating.
[01:15:03.000 --> 01:15:23.000]  They're saying and this can be hard for Mac users to hear. Although I don't mind it. It's like the Mac is like the classic computing metaphor that Apple makes and you can't push it too far because it becomes an iPad or an iPhone then and they've already got that like they don't need to do a touch screen tablet like they have a touch screen tablet already.
[01:15:23.000 --> 01:15:45.000]  So the Mac has to be defined by some fundamental premises and Apple and again, you could debate it and say no, no, no Microsoft's doing the right thing. But what Apple has decided and they've done this again and again, they've set it publicly repeatedly is the Mac is for traditional computing with a pointing device and in the case of a laptop.
[01:15:45.000 --> 01:16:08.000]  It's very clear. It's two perpendicular surfaces, but it's even true on the desktop. You've got your keyboard tray or the bottom of your laptop and that's the control surface and it's got the keys and it's got the touch bar maybe and it's got the trackpad and then you got the screen and this stuff happens on the screen and you control it from the from the perpendicular surface that's in front of you and if you would rather directly manipulate with your hands, that's fine.
[01:16:08.000 --> 01:16:35.000]  That's not what a Mac is. Macs aren't for that. This adult with becoming a cool by putting on skinny jeans is the best. It's the best metaphor I've seen because I didn't think of it. He did, but I love it and to me the way that Apple has adopted some of these things like the animation for that arrow is exactly the same way where it's not trying to be iOS.
[01:16:35.000 --> 01:16:50.000]  It's not trying to be, you know, it's doing it in a Macintosh way and I have to say personally on the flip side. I got to spend I spent like half an hour in a Microsoft store when I was in San Francisco last month for the Apple event and they had a the new surface.
[01:16:50.000 --> 01:16:57.000]  I don't know what they call it surface the studio. Yeah, surface studio had a couple of them set up.
[01:16:57.000 --> 01:17:05.000]  And a whole bunch of apps like Photoshop and and and stuff and there wasn't you know, it was it wasn't that crowded.
