[00:00.000 --> 00:03.180]  There's a lot going on. Yeah, it's good time to be us
[01:02:08.660 --> 01:02:14.660]  Then they'll just mariadum right back again. Yeah exactly just but I mean, it's just the perfect attitude with your hardware software developer
[01:02:14.660 --> 01:02:16.420]  It's like you kind of have to
[01:02:16.420 --> 01:02:21.860]  You ought to be thinking with whether it's an app or a product might apple steal this idea
[01:02:21.860 --> 01:02:24.660]  I mean, I don't know maybe that's a hard word steal, but you know what I mean
[01:02:24.660 --> 01:02:29.460]  At least if you're on the team, it's can feel like they stole your idea if the answer is yes
[01:02:29.460 --> 01:02:34.900]  Then you should have a plan b for when that'll happen. Like if it seems like it would be a good idea built into the system
[01:02:35.940 --> 01:02:39.620]  It there's a very high chance. It will be built into the system and it's probably you know
[01:02:39.620 --> 01:02:43.460]  the truth is it's probably a higher chance than if you didn't build your product because
[01:02:43.940 --> 01:02:49.700]  The existence proof of hey, here's a cool product that does this thing makes it a very compelling argument, you know
[01:02:50.580 --> 01:02:56.500]  Inside apple to yeah, we should do this right like that sounds like a good idea is one thing here
[01:02:56.500 --> 01:02:59.620]  Look at this. Look at what these guys did
[01:02:59.620 --> 01:03:03.300]  Is a way more compelling way to say yeah, we should build that into the system
[01:03:04.100 --> 01:03:07.940]  Yeah, but they're also almost always only going to do the baseline feature and leave a lot of gaps
[01:03:07.940 --> 01:03:14.660]  So you can you can really thrive in in making the better version right if there's room in whatever your idea is to go deeper
[01:03:14.980 --> 01:03:21.220]  And and and stuff like that. Usually there's there's room to do that, you know, for example the my favorite example
[01:03:21.220 --> 01:03:23.220]  This year is the beefed up reminders app
[01:03:23.220 --> 01:03:29.960]  Which is it? I think I don't see how you could argue that. It's not an improvement over the almost rudimentary
[01:03:31.620 --> 01:03:33.620]  Reminders app we've had until now
[01:03:33.940 --> 01:03:40.740]  But is it I don't think is going to put any kind of dent in the sales of apps like things and omni focus
[01:03:42.580 --> 01:03:45.620]  You know, whatever your favorite to-do list app is because there's just
[01:03:46.180 --> 01:03:50.340]  People have so many diverse needs for the way they want to do it a to-do system
[01:03:50.340 --> 01:03:53.620]  That nothing that apple builds into the system that's meant for
[01:03:54.180 --> 01:03:56.980]  90 percent of people to use is ever going to touch most of those things
[01:03:57.620 --> 01:04:03.060]  The same thing with you know calendar and fantastical and mail and spark and some people just always use the google version
[01:04:03.220 --> 01:04:05.620]  Right the app regardless of whether they're using apple hardware
[01:04:06.980 --> 01:04:11.940]  Right or the fantastical group has the card hop which is a context. Yeah way better
[01:04:12.260 --> 01:04:17.380]  Yeah way better, but also I wouldn't suggest it as something that's not a good idea
[01:04:17.380 --> 01:04:22.020]  but also I wouldn't suggest it as something apple should adopt as the the
[01:04:22.820 --> 01:04:26.900]  System app, you know fantastical is probably a little closer. Uh
[01:04:27.940 --> 01:04:30.660]  To being you know, it's so you know
[01:04:32.420 --> 01:04:36.420]  But I can see why apple doesn't didn't go that route on some of the ui decisions
[01:04:36.500 --> 01:04:40.740]  But it definitely has has some power user type features that really make it worthwhile
[01:04:41.460 --> 01:04:45.140]  Yeah, I guess I could take a break talk about another sponsor. How about this?
[01:04:45.140 --> 01:04:49.220]  Here's another one of my favorite sponsors if you're hearing me right now. It's because i'm using their product
[01:04:49.780 --> 01:04:51.140]  ero
[01:04:51.140 --> 01:04:52.160]  ee
[01:04:52.160 --> 01:04:54.020]  ro
[01:04:54.020 --> 01:04:59.300]  Uh ero is a way to set up wi-fi in your home and have multiple
[01:05:00.180 --> 01:05:05.860]  Base stations spread around your house. Maybe you need two. Maybe you need three. Maybe you have a big house. You need four. I don't know
[01:05:05.860 --> 01:05:14.580]  Uh, but if you're trying to saturate your whole home with one signal from one device plugged into your cable modem or your files box
[01:05:15.460 --> 01:05:17.460]  And go from your basement
[01:05:17.700 --> 01:05:20.500]  To your garage to your bedroom on the top floor of your house
[01:05:22.260 --> 01:05:26.260]  There's a good chance you can't do it if you've got spots in your house that have bad wi-fi
[01:05:26.900 --> 01:05:30.580]  You should get a system like ero ero makes it so easy to set up
[01:05:31.220 --> 01:05:33.220]  You just start with
[01:05:33.220 --> 01:05:35.060]  a starter package
[01:05:35.060 --> 01:05:40.260]  You go to their website. They have all sorts of tools where you can describe your home your apartment your house
[01:05:40.340 --> 01:05:42.340]  Whatever you're trying to set up
[01:05:43.380 --> 01:05:46.900]  And they'll help you get just the right amount of hardware to do it
[01:05:48.100 --> 01:05:52.340]  And you set it up in just minutes. It plugs right into your modem your cable your router
[01:05:52.900 --> 01:05:57.940]  And you manage it all from a dead simple app. It's a native app right there on your iphone
[01:05:58.340 --> 01:06:03.300]  And it lets you pause the wi-fi for dinner stuff like that. It lets you see all the devices on your network
[01:06:03.300 --> 01:06:09.620]  It is the easiest easiest way i've ever seen to set up a secondary guest network so that you can have
[01:06:10.340 --> 01:06:14.100]  Uh people come over and you they say hey, can I get on your wi-fi?
[01:06:14.260 --> 01:06:15.540]  You don't want them on your wi-fi
[01:06:15.540 --> 01:06:16.340]  At least if you're like me
[01:06:16.340 --> 01:06:21.540]  You don't want them on your real wi-fi where they could like see all your devices and stuff. Just give them the guest network password
[01:06:21.940 --> 01:06:22.900]  uh
[01:06:22.900 --> 01:06:23.780]  and
[01:06:23.780 --> 01:06:30.020]  They get all the same speed and performance and you're not putting putting their devices on your network. Love it super easy
[01:06:30.020 --> 01:06:34.500]  Uh, it just I just can't emphasize how easy it is to set this up and
[01:06:35.620 --> 01:06:39.860]  And it just you just stop worrying about wi-fi signal throughout your house
[01:06:41.140 --> 01:06:46.660]  So they have an all-new one an all-new ero that's new hardware starts at just 99 bucks
[01:06:47.460 --> 01:06:50.100]  And it blankets your whole home with fast reliable wi-fi
[01:06:52.660 --> 01:06:55.140]  You can get your wi-fi fixed as soon as tomorrow
[01:06:55.140 --> 01:07:02.740]  Go to ero.com slash the talk show and enter that code the talk show at checkout and you'll get free overnight shipping with your order
[01:07:03.300 --> 01:07:08.500]  That's amazing. So 24 hours from the time you're listening to me tell you this you could already be setting up your
[01:07:08.900 --> 01:07:10.260]  Euro right there in your home
[01:07:10.260 --> 01:07:17.060]  That's ero.com slash the talk show with code the talk show at checkout to get your ero delivered with free overnight shipping
[01:07:17.620 --> 01:07:19.620]  You must use this url to receive the offer
[01:07:19.620 --> 01:07:26.740]  You must use this url to receive the offer ero.com slash the talk show with checkout code the talk show
[01:07:27.300 --> 01:07:31.460]  I guess we got to talk. I can't just ignore it. I got to talk about the apple hong kong china stuff
[01:07:31.540 --> 01:07:36.500]  But I feel like i've written so much about it that I don't need to spend a whole segment of the show on it
[01:07:37.380 --> 01:07:39.380]  um
[01:07:39.380 --> 01:07:41.540]  And it seems to have calmed down a little bit
[01:07:41.540 --> 01:07:48.980]  Um, basically apple got caught in sort of a perfect storm of
[01:07:49.700 --> 01:07:52.020]  of china related stuff like
[01:07:52.740 --> 01:07:56.020]  It really is unrelated and just purely coincidental that the nba
[01:07:56.560 --> 01:08:01.860]  Situation where the gm of the houston rockets just tweeted us retweeted a simple pro hong kong
[01:08:02.660 --> 01:08:04.180]  tweet and
[01:08:04.180 --> 01:08:06.100]  really set off a
[01:08:06.100 --> 01:08:11.860]  A firestorm of controversy that made even the apple one seemed small and how often do you hear that?
[01:08:11.860 --> 01:08:18.020]  Like where apple gets caught up in a controversy and somebody else is in the same controversy and it's getting way more attention. Yeah
[01:08:18.660 --> 01:08:20.660]  um
[01:08:21.540 --> 01:08:23.860]  But the apple related aspects
[01:08:24.740 --> 01:08:27.300]  There's the hk map live app
[01:08:28.020 --> 01:08:31.400]  And then there's this this sub-secondary
[01:08:33.300 --> 01:08:35.300]  Story of
[01:08:35.300 --> 01:08:37.300]  apple
[01:08:38.320 --> 01:08:45.300]  Requesting slash demanding that the people creating the shows for apple tv plus keep them china friendly
[01:08:46.100 --> 01:08:51.700]  Meaning don't don't don't put stuff in your shows that would anger the chinese or create a controversy. Um
[01:08:53.540 --> 01:08:56.420]  With the hk map live i've written enough a lot about it
[01:08:56.420 --> 01:08:59.700]  the one thing I can say and i'm not quite sure I made clear my writing is that i've
[01:08:59.700 --> 01:09:05.220]  I've from multiple people inside apple including a couple of people who are really really
[01:09:06.500 --> 01:09:12.340]  Interested at a personal level that they they you know, whether it's their family or or significant others
[01:09:12.500 --> 01:09:15.860]  But they have a personal investment in the whole situation in hong kong
[01:09:16.740 --> 01:09:18.740]  in particular
[01:09:20.340 --> 01:09:25.380]  Uh and asked around within the company like i've verified this from a couple people that that
[01:09:25.380 --> 01:09:29.300]  The initial rejection of that app was not a strat strategic
[01:09:30.340 --> 01:09:35.300]  dictum from the top of the company that was just a single app reviewer who looked at the app and
