[00:00.000 --> 00:04.640]  So where to start I say we let's just talk about Renee Ritchie. Let's talk year in review. Yes
[01:00:50.480 --> 01:00:54.400]  And the other thing that I mean i've heard really good things about kevin lynch's work at apple
[01:00:54.400 --> 01:00:56.320]  Like he sounds like he's doing a great job
[01:00:56.320 --> 01:01:00.240]  But also while the watch stuff is separate, uh, for example
[01:01:00.240 --> 01:01:01.600]  Like I don't know this for a fact
[01:01:01.600 --> 01:01:05.360]  But it sounds to me like the messages is not being like if you're working on watch messages
[01:01:05.360 --> 01:01:08.240]  You're not allowed to talk to the guy working on ios or mac messages
[01:01:08.400 --> 01:01:12.800]  It sounds like that's not the case that the messages group, you know spans across from that which is what you want
[01:01:12.880 --> 01:01:14.880]  Because otherwise it's going to create a broken experience
[01:01:15.680 --> 01:01:21.460]  Yeah, I do. I think that's absolutely the case where where he you know, it might be separate from federighi's
[01:01:22.240 --> 01:01:26.560]  Stuff but in a sense it's not because it's federighi isn't trusted with it or he's not part of it
[01:01:26.560 --> 01:01:30.720]  But that he's already got enough on his plate and they need this is such a big undertaking that it needs
[01:01:30.720 --> 01:01:36.800]  Its own point person and team but they're not I think the difference is maybe maybe the word is fiefdom
[01:01:37.120 --> 01:01:43.600]  You know that ios was run by scott forestall as his own fiefdom within the company and that's not the case with the watch
[01:01:44.400 --> 01:01:46.560]  And I was talking to brad els about this last week
[01:01:46.560 --> 01:01:49.440]  But you you look at the design cues of the watch and you start to imagine
[01:01:49.440 --> 01:01:52.320]  It's not just a copy of ios 7 or a copy of yosemite
[01:01:52.640 --> 01:01:57.120]  It is it is being given the room to be its own thing sort of establish its own identity as well
[01:01:57.120 --> 01:02:03.280]  Yeah, I almost get the sense that it if there's anything that holds up as an analogy. It's almost like the watch os
[01:02:04.000 --> 01:02:09.840]  Is to ios what ios was to mac os. Yeah, you know that yes
[01:02:09.840 --> 01:02:16.640]  We're not throwing everything out the kernel. It might be the exact same kernel. There's there it might be a ui kit
[01:02:18.400 --> 01:02:22.480]  That's doing drawing it runs frontboard like the iphone runs frontboard, right?
[01:02:22.480 --> 01:02:27.680]  But that it's it's just about base, you know using the technology that makes sense to reuse but
[01:02:28.560 --> 01:02:29.680]  but
[01:02:29.680 --> 01:02:34.660]  Stripping it down to a level that's appropriate for this new dramatically
[01:02:35.520 --> 01:02:38.640]  Lesser form factor. Yeah, but the the strategic
[01:02:39.760 --> 01:02:42.800]  aspects of how the software runs
[01:02:43.920 --> 01:02:48.480]  Couldn't be more different from the original iphone where the original iphone
[01:02:48.480 --> 01:02:52.720]  Only had this tangential relationship with your mac, which was
[01:02:53.520 --> 01:02:57.680]  connect a 30 pin connector and a usb cord to the two
[01:02:58.720 --> 01:02:59.840]  and
[01:02:59.840 --> 01:03:02.320]  Hit a you know sync and wait
[01:03:03.200 --> 01:03:08.560]  And have you know, I still think it's almost seems prehistoric. I can't believe it's only seven years ago
[01:03:08.560 --> 01:03:11.840]  But that's the only way you've got calendar events onto your phone
[01:03:12.400 --> 01:03:15.120]  Or back to your mac if you created the event on your phone
[01:03:15.120 --> 01:03:18.720]  That's the only way you could sync calendar events. The only way you could sync contacts
[01:03:21.600 --> 01:03:27.600]  It's crazy that you only had to do all that tethered but then once you untethered your phone was a completely
[01:03:27.840 --> 01:03:31.360]  Iphone was a completely independent device that had to do everything
[01:03:31.920 --> 01:03:37.680]  Any kind of computation was done on the cpu on the phone all of the drawing was done on the gpu on the phone
[01:03:38.320 --> 01:03:42.160]  and the watch at least for third-party software is largely just
[01:03:42.160 --> 01:03:46.640]  At least for third-party software is largely just a projected screen
[01:03:47.280 --> 01:03:49.280]  Where it's doing the least work possible?
[01:03:49.600 --> 01:03:51.600]  yeah, it's almost like uh
[01:03:51.760 --> 01:03:55.840]  The web app solution for the original iphone where when you no longer connect it to the internet
[01:03:55.920 --> 01:03:59.680]  Nothing can update when you're not when your phone's no longer in vicinity. Nothing can update right?
[01:04:00.320 --> 01:04:02.320]  Yeah, absolutely
[01:04:03.440 --> 01:04:05.920]  Let's take a break and we'll come back and talk more yosemite
[01:04:05.920 --> 01:04:13.280]  Um, but I want to thank our second sponsor and it's another long time friend of the show our good friends at linda
[01:04:13.920 --> 01:04:15.740]  dot com
[01:04:15.740 --> 01:04:17.600]  lynda.com
[01:04:17.600 --> 01:04:19.040]  linda.com
[01:04:19.040 --> 01:04:23.520]  Is an easy and affordable way to help you learn learn what?
[01:04:24.080 --> 01:04:28.560]  Well, just about anything from programming to photography to design
[01:04:29.280 --> 01:04:31.280]  uh to audio editing
[01:04:31.600 --> 01:04:32.880]  even uh
[01:04:32.880 --> 01:04:35.840]  Even stuff like negotiation skills. They have classes on that
[01:04:36.400 --> 01:04:38.960]  It's amazing the breadth of their library
[01:04:39.440 --> 01:04:45.760]  You instantly stream thousands of courses created by experts on software web development graphic design any of those things
[01:04:46.400 --> 01:04:52.160]  And watch them right on your computer fresh content. There's new courses added daily
[01:04:52.560 --> 01:04:59.840]  They work directly with industry experts and software companies to provide timely training often the same day that new versions or releases of apps or
[01:04:59.840 --> 01:05:05.520]  Products or services hit the market. Uh, so if you want to learn something new new version of lightroom comes out
[01:05:05.520 --> 01:05:08.400]  Guess what? You can learn everything that's new from linda.com right away
[01:05:10.160 --> 01:05:13.120]  Easy to learn high quality easy to follow
[01:05:14.320 --> 01:05:17.280]  Their video tutorials are produced at the highest quality
[01:05:18.240 --> 01:05:23.840]  Courses are broken down into bite-sized pieces so you can learn at your own pace and learn from start to finish
[01:05:24.480 --> 01:05:26.480]  Or just find a quick answer
[01:05:26.480 --> 01:05:31.120]  Uh, they have beginning level stuff mid-level stuff and expert level courses
[01:05:32.080 --> 01:05:35.860]  Uh, they have great great tools including searchable transcripts
[01:05:36.880 --> 01:05:42.000]  Super super important if you're looking back to find something that you knew you saw a couple weeks ago in a course and you can't
[01:05:42.000 --> 01:05:44.560]  Find it and you know, you know what it is. You want to search for it
[01:05:44.640 --> 01:05:48.340]  Well, they've got it because all of their stuff has transcripts. You can make playlists
[01:05:49.920 --> 01:05:51.440]  And they even have stuff like certificates
[01:05:51.440 --> 01:05:53.440]  So like when you finish a course you can publish
[01:05:53.440 --> 01:05:57.460]  In your linkedin profile a certificate of which linda.com
[01:05:58.480 --> 01:06:00.480]  courses you've completed
[01:06:01.440 --> 01:06:06.160]  They have mobile apps so you can learn on the go with your iphone ipad even android
[01:06:06.800 --> 01:06:09.120]  And if you get a premium account
[01:06:09.680 --> 01:06:16.980]  You can download the courses to your mobile device like your ipad your iphone and watch them offline
[01:06:16.980 --> 01:06:23.300]  Line, uh premium plan members can also download project files and practice along with the instructor
[01:06:23.940 --> 01:06:27.060]  So how do you get all this do you pay for it by the video? Nope?
[01:06:27.700 --> 01:06:33.380]  One low monthly price you pay 25 bucks per month and that gives you
[01:06:34.000 --> 01:06:40.260]  Unlimited access to over 100 000 video tutorials the whole library you pay 25 bucks a month
[01:06:40.900 --> 01:06:42.900]  You get everything
[01:06:42.900 --> 01:06:48.900]  Up now you might be thinking well 25 bucks a month. That's actually not cheap. That's that's that's a lot of money
[01:06:49.940 --> 01:06:52.100]  Here's how confident linda.com is
[01:06:52.900 --> 01:06:55.700]  In their service. They have a special deal just for listeners of the show
[01:06:57.460 --> 01:06:59.360]  Go to linda.com
[01:06:59.360 --> 01:07:01.300]  lynda.com
[01:07:01.300 --> 01:07:02.820]  the talk show
[01:07:02.820 --> 01:07:04.580]  with the
[01:07:04.580 --> 01:07:09.940]  And for the next seven days you can access everything for free. No credit card up front
[01:07:09.940 --> 01:07:14.340]  But just go there linda.com slash the talk show. They'll know you're coming from the show
[01:07:15.380 --> 01:07:22.420]  And for seven days you can watch everything they have unlimited that's and and see for yourself how good this stuff is
[01:07:23.060 --> 01:07:27.940]  And that's how confident they are that at the end of that period you're going to jump at the chance to sign up for an
