[00:00.000 --> 00:02.000]  He says he joined.
[52:10.880 --> 52:11.880]  That's my guess as the third old man.
[52:11.880 --> 52:12.880]  All right.
[52:12.880 --> 52:13.880]  That sounds right.
[52:13.880 --> 52:17.320]  And also, that sounds better, so we'll let that stand.
[52:17.320 --> 52:22.920]  But so much work went into it, and it was so palpable, right?
[52:22.920 --> 52:29.400]  The famous opening shot right away, just boom, seriously, maybe, arguably, the best opening
[52:29.400 --> 52:32.520]  shot of any movie ever made.
[52:32.520 --> 52:36.340]  And it just immediately emphasized this is going to look real.
[52:36.340 --> 52:43.660]  This looks like a massive, kilometers-long starship chasing a little guy.
[52:43.660 --> 52:47.560]  And you could just tell by the architecture of the ships, even though they didn't really
[52:47.560 --> 52:55.800]  cheat, who was the good guy, who was the bad guy, just the amount of design, right?
[52:55.800 --> 53:00.740]  And maybe if there's anything I've been obsessed with my entire life, it's design, the amount
[53:00.740 --> 53:06.340]  of design that went into this movie for kids, whereas almost all this stuff that was made
[53:06.340 --> 53:12.860]  for kids when I grew up was clearly garbage, just like, blah, this is terrible.
[53:12.860 --> 53:18.900]  Even Disney started making animated movies where they just cheaped out on the frame rate
[53:18.900 --> 53:25.680]  and the style, and it's like 101 Dalmatians and some of those movies of that era.
[53:25.680 --> 53:28.560]  They weren't even well animated.
[53:28.560 --> 53:29.980]  It was like, ah, it's just for kids.
[53:29.980 --> 53:32.620]  Why spend all the money to do it right?
[53:32.620 --> 53:39.120]  Star Wars had this attitude that kids deserve the highest possible production values and
[53:39.120 --> 53:47.020]  special effects and articulation of the models and just developing this whole world.
[53:47.020 --> 53:49.440]  I appreciated that so much.
[53:49.440 --> 53:52.040]  The Godfather sort of had that for gangster movies.
[53:52.040 --> 53:55.800]  There's this whole world that was brought, it was so visceral.
[53:55.800 --> 54:01.360]  People still talk about it to this day, like if in some alternate universe, George Lucas
[54:01.360 --> 54:08.580]  had just locked the box after 1983 and there had never been another Star Wars movie or
[54:08.580 --> 54:15.460]  TV show and he still just had the rights the way that Coppola has to the Godfather.
[54:15.460 --> 54:19.640]  We wouldn't be having the Star Wars Holiday Spectacular right now every year, but we would
[54:19.640 --> 54:25.840]  still talk about those three Star Wars movies the way people talk about the Godfather movies.
[54:25.840 --> 54:28.740]  It would still be a thing, and that's sort of what I wanted.
[54:28.740 --> 54:36.440]  As a young kid, I wasn't allowed and I had no interest in watching the Godfather movies
[54:36.440 --> 54:42.400]  at that age, but I treated the Star Wars movies that way.
[54:42.400 --> 54:48.800]  Even as a 10-year-old had feelings about the Ewoks in Return of the Jedi that are sort
[54:48.800 --> 54:53.880]  of like people's comments on the Godfather Part 3, which is now.
[54:53.880 --> 54:58.640]  Again, we could do a whole show on the similarities, the way that Coppola keeps going back to the
[54:58.640 --> 55:03.680]  Godfather movies, the way Lucas couldn't keep his goddamn hands off the Star Wars movies.
[55:03.680 --> 55:08.240]  Well, here's where they diverged, though, because you mentioned the gangster movies.
[55:08.240 --> 55:10.960]  Organized crime movies and gangster movies obviously existed before the Godfather.
[55:10.960 --> 55:15.000]  The Godfather put a stake in the ground and said, no, no, this is how you do this.
[55:15.000 --> 55:21.360]  But the universe of Italian-American organized crime was not a universe created by Francis
[55:21.360 --> 55:22.360]  Ford Coppola.
[55:22.360 --> 55:23.600]  It was like a real-world thing, right?
[55:23.600 --> 55:30.480]  So if he just locked the box on the Godfather trilogy, he can't contain the universe because
[55:30.480 --> 55:33.560]  organized crime is a thing, and here's what we got.
[55:33.560 --> 55:36.900]  Because that's not his box to lock up, he's got those characters in that story, but the
[55:36.900 --> 55:38.800]  setting continues to exist.
[55:38.800 --> 55:43.560]  Then you get Goodfellas, which is kind of like saying, well, Star Wars was locked up,
[55:43.560 --> 55:48.040]  but the Star Wars universe is available for someone else to pick up the ball and say,
[55:48.040 --> 55:52.920]  I can make a gangster movie, I can make a Star Wars movie, and then they make Goodfellas.
[55:52.920 --> 55:55.840]  And Goodfellas is amazing, and I would not want to live in a world without it.
[55:55.840 --> 56:00.000]  And I feel like not allowing other people to make things in the Star Wars universe would
[56:00.000 --> 56:04.840]  be like not allowing anyone to make any more gangster movies after the Godfather part two.
[56:04.840 --> 56:09.440]  I think that last is a jump.
[56:09.440 --> 56:11.960]  I do.
[56:11.960 --> 56:17.280]  I'm not sure I disagree with you, but I'm not sure that I can totally get on board with
[56:17.280 --> 56:18.280]  that either.
[56:18.280 --> 56:20.920]  Yeah, because where do you put all the Battlestar Galacticas and the…
[56:20.920 --> 56:21.920]  Right.
[56:21.920 --> 56:22.920]  I love Battlestar Galactica.
[56:22.920 --> 56:23.920]  Yeah, me too.
[56:23.920 --> 56:25.280]  But it wasn't in the Star Wars universe.
[56:25.280 --> 56:30.480]  No, but I mean, it exists because it was pushed out of the Star Wars universe, right?
[56:30.480 --> 56:35.520]  And I don't know if you noticed, but the Mandalorian has a bunch of Cylons coming and
[56:35.520 --> 56:36.520]  picking up baby Yoda.
[56:36.520 --> 56:37.520]  Those aren't Cylons, come on.
[56:37.520 --> 56:38.520]  Oh, come on, man.
[56:38.520 --> 56:39.520]  Those are from Dark Forces.
[56:39.520 --> 56:40.520]  We'll get there.
[56:40.520 --> 56:42.320]  We're all we're only an hour in.
[56:42.320 --> 56:43.320]  Okay.
[56:43.320 --> 56:45.040]  Come on.
[56:45.040 --> 56:48.200]  But I agree and I disagree.
[56:48.200 --> 56:55.400]  I kind of see it where Star Wars carved out this weird genre that wasn't just space
[56:55.400 --> 56:59.260]  opera shoot them up with laser guns and spaceships.
[56:59.260 --> 57:02.040]  But it was a very specific version of it, right?
[57:02.040 --> 57:04.040]  Like with lightsabers.
[57:04.040 --> 57:05.040]  And they made a universe.
[57:05.040 --> 57:09.240]  The Star Wars universe is distinct from the Buck Rogers universe or the Battlestar Galactica
[57:09.240 --> 57:12.900]  universe, even though they both look like they're space and have ILM spaceships.
[57:12.900 --> 57:18.880]  Because it's this weird meld of space opera that is a lot like on the surface.
[57:18.880 --> 57:23.000]  And if you don't really pay attention, it is a lot like Battlestar Galactica or any
[57:23.000 --> 57:24.000]  of these other things.
[57:24.000 --> 57:27.760]  I mean, the same ILM people made the spaceships in Battlestar Galactica, that's why it looks
[57:27.760 --> 57:28.760]  similar.
[57:28.760 --> 57:29.760]  Well, wait.
[57:29.760 --> 57:34.760]  So wait, specifically the Galactica thing I meant is the dark troopers look like Cylons.
[57:34.760 --> 57:35.760]  Yeah, I know.
[57:35.760 --> 57:36.760]  I know.
[57:36.760 --> 57:43.240]  I just want to delineate that for people who may think that I'm painting with a very
[57:43.240 --> 57:44.240]  broad brush.
[57:44.240 --> 57:45.240]  I'm really not.
[57:45.240 --> 57:47.760]  Now that we're talking about the Godfather and Star Wars, it occurs to me like, you know,
[57:47.760 --> 57:50.960]  the thing we always talk about with Star Wars, you know, what defines the Star Wars universe?
[57:50.960 --> 57:53.200]  It was like the dirty used future, right?
[57:53.200 --> 57:54.200]  Yeah.
[57:54.200 --> 57:58.520]  But, you know, the Star Wars, the first Star Wars movie came out in the 70s.
[57:58.520 --> 58:01.660]  Everything on screen in the movies in the 70s was dirty, you know, it was like dirty
[58:01.660 --> 58:02.660]  New York City.
[58:02.660 --> 58:07.200]  It was like, you know, like the Godfather, you know, Taxi Driver, you know, just like
[58:07.200 --> 58:08.200]  that.
[58:08.200 --> 58:10.240]  But I think that's the brilliance of it, right?
[58:10.240 --> 58:15.640]  It was like time, but it was a space movie with film grain and dirt from the 70s.
[58:15.640 --> 58:19.240]  No, because it's not an affectation.
[58:19.240 --> 58:20.240]  It's not.
[58:20.240 --> 58:21.240]  It was authentically.
[58:21.240 --> 58:22.240]  It came by it honestly.
[58:22.240 --> 58:23.240]  Exactly.
[58:23.240 --> 58:28.560]  Yeah, it came by it honestly, he's hanging out with a bunch of really nitty-gritty film
[58:28.560 --> 58:32.080]  people who did a lot of really nitty-gritty stuff.
[58:32.080 --> 58:36.840]  But he's also the guy who made American Graffiti, so it ends up being that dirty 70s, but with
[58:36.840 --> 58:40.280]  a plucky space hero blonde clown boy from Tatooine.
[58:40.280 --> 58:41.520]  But there's the insight.
[58:41.520 --> 58:42.520]  That's what we should be celebrating.
[58:42.520 --> 58:47.060]  It's like, well, what if I take the future and do it the same way?
[58:47.060 --> 58:54.120]  What if I treat the future as human and humanely as I treat the current?
[58:54.120 --> 59:01.280]  And what if I talk about the future Nazis as an analog, like why don't I do the classic
[59:01.280 --> 59:06.440]  sci-fi thing, which is talk about something that's horrific and horrible and despicable
[59:06.440 --> 59:13.100]  and project them in a light that is apropos for the time and maybe a little bit advanced
[59:13.100 --> 59:16.520]  in that I'm going to couch them in laser beams.
[59:16.520 --> 59:20.520]  And that is the value.
[59:20.520 --> 59:28.640]  That's why THX 1138 was a nice draft and Star Wars worked.
[59:28.640 --> 59:33.680]  And I think it worked because it played on that same notion and it dragged the future
[59:33.680 --> 59:35.360]  down to Earth.
[59:35.360 --> 59:44.760]  And it made sci-fi a thing that felt real, like you could reach out and touch a droid.
[59:44.760 --> 59:46.600]  You could touch R2-D2.
[59:46.600 --> 59:50.320]  You could touch certainly the Millennium Falcon.
[59:50.320 --> 59:52.800]  Chewbacca was your pet dog.
[59:52.800 --> 59:54.600]  You could do this.
[59:54.600 --> 01:00:07.120]  And yet it was divorced enough from reality to help land the narrative, the points, the
[01:00:07.120 --> 01:00:09.080]  perspective that it wanted to convey.
[01:00:09.080 --> 01:00:12.120]  Now, sure, Nazis are bad.
[01:00:12.120 --> 01:00:14.280]  I hope everybody got that from Star Wars.
[01:00:14.280 --> 01:00:15.280]  I'm not sure they did.
[01:00:15.280 --> 01:00:17.400]  Based on the internet, apparently not everyone.
[01:00:17.400 --> 01:00:18.400]  Right, yeah, I know.
[01:00:18.400 --> 01:00:22.000]  But I mean, that was the point, right?
[01:00:22.000 --> 01:00:23.000]  And I liked it.
[01:00:23.000 --> 01:00:24.000]  I admire it.
[01:00:24.000 --> 01:00:32.640]  And I think that's why it still sticks with us so much, like that lived-in universe.
[01:00:32.640 --> 01:00:36.920]  Lived-in is a word that means that we can inhabit it.
[01:00:36.920 --> 01:00:42.080]  I think basically, I'm convinced, the more we talk about it, I'm convinced that there
[01:00:42.080 --> 01:00:45.200]  were only two right ways to handle this.
[01:00:45.200 --> 01:00:47.360]  One would have been that there was...
[01:00:47.360 --> 01:00:48.600]  The good way and the wrong way.
[01:00:48.600 --> 01:00:50.800]  That's going to work out right, man.
[01:00:50.800 --> 01:00:54.640]  If anything Star Wars has taught us, there's light and bad and everything else.
[01:00:54.640 --> 01:01:02.280]  For Lucas to have made one trilogy, Star Wars, Empire, Return of the Jedi, I thought it was
[01:01:02.280 --> 01:01:03.280]  so awesome.
[01:01:03.280 --> 01:01:08.960]  It was so freaking great as a kid when they renumbered them and Empire, instead of being
[01:01:08.960 --> 01:01:11.400]  Star Wars II, was Episode V.
[01:01:11.400 --> 01:01:13.880]  And it just hinted at this greater story.
[01:01:13.880 --> 01:01:16.000]  But what if he'd never gone back?
[01:01:16.000 --> 01:01:24.440]  In some ways, there's an ineffable awesomeness to the fact that if the only three Star Wars
[01:01:24.440 --> 01:01:30.320]  pieces that ever existed were Episodes IV, V, and VI, and that was it.
[01:01:30.320 --> 01:01:37.120]  Or if you're going to start making more, I think the way that Disney is handling it now
[01:01:37.120 --> 01:01:38.760]  is the way to do it.
[01:01:38.760 --> 01:01:45.180]  And to give people enough Star Wars so that if a totally, just a truly bad movie comes
[01:01:45.180 --> 01:01:46.180]  out like Solo.
[01:01:46.180 --> 01:01:49.400]  Would you guys watch that?
[01:01:49.400 --> 01:01:51.520]  I would not call Solo a truly bad movie.
[01:01:51.520 --> 01:01:52.520]  We differ there.
[01:01:52.520 --> 01:01:53.520]  Very strongly.
[01:01:53.520 --> 01:01:54.520]  Okay.
[01:01:54.520 --> 01:01:55.520]  Well, I thought it was horrible.
[01:01:55.520 --> 01:01:56.520]  I thought it was...
[01:01:56.520 --> 01:01:57.520]  I'm in the middle.
[01:01:57.520 --> 01:01:58.520]  Do you see The Rise of Skywalker?
[01:01:58.520 --> 01:01:59.520]  Come on.
