[00:00.000 --> 00:03.000]  Where do we even start, Ben?
[01:13:56.000 --> 01:14:11.000]  He thought it would look that Lynch thought it would really make Adobe look bad if he left for Apple in the middle of the flash in the middle of this flash player stuff and that he stuck with them out of loyalty with Adobe out of loyalty.
[01:14:11.000 --> 01:14:22.000]  If Lynch told me that, I would take it as fact. I heard it from a second-hand source, so take it with a grain of salt. I don't know if that's true or if it's been. I don't know. But I heard that.
[01:14:22.000 --> 01:14:30.000]  He was with Macromedia, so presumably he knew Schiller. Maybe that was the connection. I don't know.
[01:14:30.000 --> 01:14:33.000]  I wonder, though, because Schiller was there so long ago.
[01:14:33.000 --> 01:14:34.000]  That's true.
[01:14:34.000 --> 01:14:39.000]  We're talking mid-90s, so I don't know about that.
[01:14:39.000 --> 01:14:54.000]  Here's the thing, though, about the loyalty angle. To me, the best thing you can say about Lynch is if he believed all that stuff about flash player for mobile being a great thing that's going to help everybody but Apple and that Apple should get on it.
[01:14:54.000 --> 01:15:16.000]  If he really thought in 2011, or was it 2010? He wrote that in 2010. If he really thought that flash player for mobile was a winner for everybody but Apple and that Apple should get on board and do it, to me that's damning because it was just bad technology and it was really bad for mobile.
[01:15:16.000 --> 01:15:28.000]  I agree, and you get to the Johnny Ive article and talking about the idea that you're not being honest if you're not being critical.
[01:15:28.000 --> 01:15:49.000]  At the same time, before I went to Microsoft and when they first unveiled Windows 8, all things deep, this would be 2011, I thought it was awful. I trashed it. I posted myself on Twitter, which unfortunately is no longer there because one of my classmates was like,
[01:15:49.000 --> 01:16:05.000]  Dude, you know you're going to work there, right? Someone might be reading that. I already got in trouble with my Twitter account previously due to Apple, actually. It's a convoluted story. Not when I was at Apple. It was a school thing.
[01:16:05.000 --> 01:16:23.000]  But then I went to Microsoft and I worked on Windows 8. One of the things is when you're working on it, I was one of the people on the team getting developers to build for Windows 8.
[01:16:23.000 --> 01:16:40.000]  You're selling it, right? There's a certain sense of maybe I should just quit if I don't believe in it, but if you're fresh out of school, it's a big opportunity.
[01:16:40.000 --> 01:16:59.000]  The teams got reorganized. I was doing a job several levels above me. A ton of responsibility. It had a ton of impact. There's a subconscious thing like, Well, maybe I have my doubts, but I'm going to put those in the cupboard for now and I'm going to work my ass off and do the best I can, which I did.
[01:16:59.000 --> 01:17:10.000]  I told close friends. I told them about my misgivings and the issues with it, but boy, as far as it impacted my day-to-day life, my professional life, I was giving it my all.
[01:17:10.000 --> 01:17:31.000]  Sure enough, when it came out, all my initial misgivings ended up being totally spot on, but I kind of look back that both humbled for sure and a little ashamed, but also appreciative for how you can lose sight of what is true.
[01:17:31.000 --> 01:17:43.000]  If you're someone like Johnny Iver, arguably Kevin Lynch in his position, you have the luxury of you can step off, but there's so many things in history where people just go down the wrong path.
[01:17:43.000 --> 01:17:58.000]  I join you in judging him, but I also empathize and can sympathize because I feel bad about it. I feel bad that I sucked in at the same time. I can appreciate why that happened to me.
[01:17:58.000 --> 01:18:12.000]  Who knows what he was saying inside Adobe. What he said publicly, I would not want to put my name on something public to go that all in.
[01:18:12.000 --> 01:18:20.000]  If I was the CTO of Adobe in 2010, there's no way I would have put my name on that publicly, even no matter how loyal I wanted to be to the company.
[01:18:20.000 --> 01:18:44.000]  I realize that as the CTO of Adobe, he couldn't say anything bad about it at the time publicly and that Adobe as a whole was going to market it and try to do it, but he had to know it was a bad technology and a really bad fit for mobile devices and processors in terms of performance and just where everything was going.
[01:18:44.000 --> 01:18:57.000]  I took so much flack at the time from certain people with my absolute adamance that Flash was terrible for mobile. I've always thought Flash was terrible even for desktop, but it was horrible.
[01:18:57.000 --> 01:19:22.000]  The best thing that ever happened to the web, the open web, was Apple's refusal to put Flash on these devices and it single-handedly, in my opinion, got video out of the proprietary and terribly performing Flash player and into HTML5 compatible.
[01:19:22.000 --> 01:19:34.000]  H.264 and etc. that can be played more efficiently and openly and doesn't require any sort of lock-in to one particular plug-in architecture.
[01:19:34.000 --> 01:19:58.000]  I actually kind of stumbled across this personal website via Wikipedia and it's in paragraph form, but kind of what he's done and there's no mention of the word Flash. Surprisingly, Adobe as a CTO at Adobe helped define GreenLife Creative Cloud and Adobe Marketing Cloud. No Flash.
[01:19:58.000 --> 01:20:12.000]  Earlier, this is Kevin Lynch from his website. I will put this in the show notes. If I write it down on paper, it'll get in. Earlier, I was a Mac software developer. I helped develop the first Mac release of Framemaker and then led their core technology team.
[01:20:12.000 --> 01:20:21.000]  Frame technology was also acquired by Adobe. Prior to this, I helped establish one of the first Mac software startups in 1984. Framemaker. You ever used Framemaker?
[01:20:21.000 --> 01:20:36.000]  Nope. Oh, great software. Really great software. And the fact that Adobe sort of... I guess it's gone now. I guess it's dead. I don't think it ever made the transition to OS X. I don't think there was ever a native OS X version of it.
[01:20:36.000 --> 01:20:55.000]  And it was strategically subsumed by InDesign. And InDesign was way more... The thing with Framemaker, I used it at bare bones. We had the... It was super focused, right? Yeah. It wasn't quite as designer-y as I would like. And I used to live and breathe in QuarkXPress.
[01:20:55.000 --> 01:21:13.000]  Yeah, that's what I knew. I used QuarkXPress. I would get frustrated by some of the ways that Frame wasn't as design... Like, Quark, I could make a thing print out with the exact design I wanted, down to... I'm gonna say hundredth of an inch, but it might have even been thousandths of an inch.
[01:21:13.000 --> 01:21:26.000]  I mean, and it was spot-on accurate. And then it would just... It would come out of the printer exactly... Everything positioned exactly where I wanted it. And Framemaker didn't let you position things quite as precisely as Quark.
[01:21:26.000 --> 01:21:48.000]  But the thing that Frame had was these book-making features, where you could select... Like, for making... Here's the canonical example, is to make an index for the book. Is you could select text and say, I want to make an index entry right here. And you got precise control over what the entry and the index would be called, where it pointed to.
