[00:00.000 --> 00:02.000]  Uh, here we are. We're recording on
[01:03:38.580 --> 01:03:42.220]  Again, one thing is just putting manpower out there, you know and having more
[01:03:42.220 --> 01:03:45.340]  You know more of these teams with these
[01:03:45.940 --> 01:03:52.260]  Goofy looking bands covered with cameras out in the street, right? What they seem to be doing with these acquisitions is buying
[01:03:52.940 --> 01:03:55.380]  maps related technology and
[01:03:56.300 --> 01:04:02.120]  Resource and science companies from that instead of buying a data company. So Tom Tom's data companies
[01:04:02.120 --> 01:04:08.680]  So is Foursquare and Yelp, but they bought all those transit apps who came up with like trip planning features and all that
[01:04:08.680 --> 01:04:14.580]  They bought spot setter, which didn't provide data, but it sort of aggregated points of interest
[01:04:14.580 --> 01:04:16.760]  But they'll be using for that other mass feature we talked about
[01:04:17.000 --> 01:04:20.080]  So they're sort of buying the means to build the data themselves
[01:04:20.560 --> 01:04:24.300]  right, and they bought the company that had the thing that they use for the
[01:04:25.000 --> 01:04:32.460]  3d view right c3 technologies, right and I think that at the time that they're they're live, you know
[01:04:32.460 --> 01:04:39.960]  It took Apple's acquisition of them for them to really beef up the amount of imaging that they had but it was so is it?
[01:04:39.960 --> 01:04:45.200]  Yes, they had some but it was mostly a technology acquisition not a data acquisition. Well, they bought c3
[01:04:45.800 --> 01:04:47.800]  Before the maps came out
[01:04:48.240 --> 01:04:50.240]  So they bought c3 in
[01:04:50.680 --> 01:04:55.880]  2011 when the maps was in 2012, but I guess it wouldn't have been as good without them, right?
[01:04:55.880 --> 01:04:58.620]  I don't remember during like the beta period for iOS 6
[01:04:58.620 --> 01:05:04.040]  they stripped all the 3d from one of the betas and then the next release all
[01:05:04.240 --> 01:05:07.840]  The 3d stuff came back and it was ten times better than it was before soon
[01:05:07.960 --> 01:05:11.340]  No, I don't remember that something probably fixed in the middle there
[01:05:11.340 --> 01:05:15.960]  I do remember that it was a major part of four stalls demo of it when he unveiled it
[01:05:16.160 --> 01:05:18.160]  Right at the iPhone 5 at that time
[01:05:19.000 --> 01:05:23.280]  WWDC right. Yeah, that was also his fault. So yeah
[01:05:23.280 --> 01:05:29.760]  Maybe a little bit. Well, you know, I might have been the straw that broke the camel's back is
[01:05:29.760 --> 01:05:31.680]  Yeah, one way to look at it. Sure
[01:05:31.680 --> 01:05:37.960]  I think that even if maps I suspect though my hunches in the alternate universe were maps had a
[01:05:39.480 --> 01:05:43.520]  Let's say lukewarm response because I think that was the best they were gonna do
[01:05:43.520 --> 01:05:48.080]  there was no way they were gonna it's just not feasible to come out of the gate with a with a
[01:05:48.080 --> 01:05:52.480]  A complete peer to Google Maps
[01:05:52.640 --> 01:05:56.760]  but they had to make the switch because of contract reasons that they just couldn't they
[01:05:57.240 --> 01:06:02.040]  Were they did not want to give Google another year and what Google was asking for them?
[01:06:02.440 --> 01:06:07.240]  You know was more than they wanted to give and they wanted things like turn-by-turn directions
[01:06:07.240 --> 01:06:09.680]  So they needed to just rip the band-aid off and do it
[01:06:09.680 --> 01:06:13.680]  Even if it had been a better launch like hey, this is about as good as we could have done the first time
[01:06:13.680 --> 01:06:19.580]  I still think forest all would have been gone when he was gone. Oh, yeah, I agree, but I think that you know
[01:06:20.080 --> 01:06:23.480]  It didn't help. I don't think it helped anybody. No
[01:06:27.880 --> 01:06:34.200]  What else in Mac, oh or not Mac OS iOS 9 iOS 9 so we talked about San Francisco
[01:06:34.920 --> 01:06:36.200]  transit
[01:06:36.200 --> 01:06:42.480]  Oh the proactive stuff. So last year's big term was continuity, right?
[01:06:42.480 --> 01:06:44.640]  Right this year the big charm now
[01:06:44.640 --> 01:06:52.040]  I don't know if this expands marketing wise but internally something called proactive and that maps browse around me features one component
[01:06:52.040 --> 01:06:56.800]  But another component now, I don't know if this is a hundred percent a lock for next week
[01:06:56.800 --> 01:07:02.680]  But they have been working on this with the intention back whenever they were working on this for iOS 9
[01:07:02.680 --> 01:07:07.000]  so I just want to preface by saying that but it's an entirely new spotlight and
[01:07:07.000 --> 01:07:13.880]  And instead of pulling down on the home screen you swipe to the right to open the new screen on the left
[01:07:14.640 --> 01:07:19.840]  Kind of like how you open spotlight pre iOS 7. Yeah, I when I read this on your site
[01:07:19.840 --> 01:07:24.360]  I misread it at first and I didn't get it and now I get it. It's sort of like to me
[01:07:24.360 --> 01:07:28.960]  It's like home screen 0 like if you count your first home screen is home screen 1 now
[01:07:28.960 --> 01:07:31.880]  There's one at position 0 to the left, right?
[01:07:31.880 --> 01:07:37.120]  And I called it a layer in my story and that probably was not a good way to reference it. Yeah
[01:07:37.120 --> 01:07:39.960]  Probably better would have been the first home screen
[01:07:40.280 --> 01:07:46.600]  But it's part of the OS and at the top there's like the spotlight search bar that you have now
[01:07:46.920 --> 01:07:51.260]  But beneath that is a bunch of timely functionality similar to Google now
[01:07:51.260 --> 01:07:56.120]  So your next calendar appointments if you have an appointment at the airport
[01:07:56.120 --> 01:08:04.000]  You're going on a flight the passbook card for the airline ticket could appear if I call you John every day at 5 30 p.m
[01:08:04.000 --> 01:08:09.160]  A bubble could pop up saying it's time to call John or if it's 1 p.m
[01:08:09.160 --> 01:08:12.400]  And it's lunchtime another bubble with local
[01:08:13.120 --> 01:08:17.880]  Restaurants around my location could pop up so stuff of that nature, right?
[01:08:17.880 --> 01:08:23.840]  But that's where you'll go if you know that you want to launch this app and you don't know which home screen it's on instead
[01:08:23.840 --> 01:08:28.000]  Of doing the pull-down thing you go over there to home screen 0 and start typing the name of the app
[01:08:29.360 --> 01:08:31.360]  Right. So yep
[01:08:32.200 --> 01:08:36.060]  That there's that too, but there also will be yeah, it's kind of like when you type in
[01:08:37.000 --> 01:08:43.480]  Like a search term now, it'll show you like Wikipedia or other stuff like that. Yeah, so if you were to type in
[01:08:44.780 --> 01:08:51.280]  You know like call or food or calendar whatever those relevant search results could pop up or they could just be there waiting for you
[01:08:51.280 --> 01:08:57.240]  It's to be seen what they do, but it's a big emphasis on redoing spotlight for more contextual features
[01:08:57.240 --> 01:09:01.180]  Yeah, I forget if we've talked about I think I was with Renee last week where we talked about this
[01:09:01.180 --> 01:09:04.480]  But the one reason that to me it makes a lot of sense is that
[01:09:05.400 --> 01:09:07.400]  Just from a basic. I
[01:09:09.640 --> 01:09:15.020]  Don't even know what you want to call it just a common sense user interface design thing the way it is now and the way
[01:09:15.020 --> 01:09:17.020]  It has been since iOS 7
[01:09:17.020 --> 01:09:22.420]  It doesn't make a lot of sense to me because if you pull down from the edge you get
[01:09:23.340 --> 01:09:29.420]  Notification Center in today view, but if you pull down in the middle, then you get the spotlight search and to me that
[01:09:30.340 --> 01:09:34.100]  pull down from two different places and you get two entirely different things is
[01:09:35.340 --> 01:09:38.980]  It's just a bad idea. Oh, yeah. Yeah for sure, right?
[01:09:38.980 --> 01:09:42.020]  So give it its own side and then all of a sudden to me it makes a lot more sense
[01:09:42.020 --> 01:09:47.080]  Right and with the new functionality, so I think that if this isn't does indeed launch next week
[01:09:47.300 --> 01:09:53.780]  It will be the highlight of iOS 9. Yeah, I wouldn't be surprised and that would be a good place to where where
[01:09:54.420 --> 01:09:58.060]  Who knows if they have any new partnerships to announce, you know?
[01:09:58.500 --> 01:10:03.460]  From other third parties that you know that could sneak into those results, right?
[01:10:03.460 --> 01:10:06.380]  Have you seen the app queue that Apple acquired a couple years ago?
[01:10:08.380 --> 01:10:10.380]  Only I think through your report
[01:10:10.380 --> 01:10:16.980]  But yes, and it's spelled based on that like Eddie's last name. See you. That's why he bought it. He wanted the domain name
[01:10:19.340 --> 01:10:23.940]  Well, you have to clarify though that it's not QUE you eat right right, right
