[00:00.000 --> 00:03.480]  Is this the show are we on the show is this the show could be
[01:04:36.300 --> 01:04:39.620]  Just the idea of a tie an x-wing blowing up a TV. It just sounds dumb, right?
[01:04:39.620 --> 01:04:42.980]  It's like how did that ever get past the the first pitch meeting?
[01:04:42.980 --> 01:04:47.240]  It sounds like something that you would do like in the Terry Gilliam style from you know
[01:04:47.240 --> 01:04:50.240]  It would just be silly but it a giant foot squishes it
[01:04:50.240 --> 01:04:53.660]  Yeah, it somehow worked because it was just like we're not gonna show you any of it yet
[01:04:53.660 --> 01:04:56.400]  We're just gonna let you know you're gonna see it on a big-ass screen
[01:04:57.160 --> 01:04:59.480]  Which is really all you need to know. Yeah, even
[01:05:00.280 --> 01:05:04.360]  Even for what it was we can say there's a lot that could be said about
[01:05:05.320 --> 01:05:07.320]  the special editions
[01:05:08.240 --> 01:05:10.240]  The the idea that
[01:05:10.240 --> 01:05:21.640]  Things were put in the end of the movie to make it better to enhance it for to make it feel more modern to clean it up that was exciting I think the execution was terrible, but the idea was really
[01:05:22.440 --> 01:05:28.460]  The that you'd get like a really crisp clean print and they cleaned it up and the blacks would be blacker and the lines would be cleaner
[01:05:28.880 --> 01:05:30.240]  That sounded great
[01:05:30.240 --> 01:05:34.420]  If that meant that we had to sit through a couple of extra do backs and the the Tatooine
[01:05:34.800 --> 01:05:37.940]  Stormtrooper scene then fine, whatever some of them are okay
[01:05:37.940 --> 01:05:42.200]  I I don't want to get into it. But I mean it's like my basic feeling I didn't I don't have any kind of
[01:05:42.800 --> 01:05:48.440]  Purity, you know that all it has to be exactly like what you saw in 1977 or it's you know, it doesn't count
[01:05:48.440 --> 01:05:52.240]  I wasn't opposed to any it's minor tweaks, but some of them were just so stupid
[01:05:52.240 --> 01:05:54.360]  I mean the Han shot first thing is right, right
[01:05:54.360 --> 01:06:00.800]  If you get rid of that awful Jabba scene and you get rid of any time any time you digitally move Han Solo
[01:06:02.360 --> 01:06:07.200]  Anytime Harrison Ford is on screen and they digitally alter anything take those out and put them back the way they were and the rest
[01:06:07.200 --> 01:06:08.760]  Of it. I'm fine with it should have been oh
[01:06:08.760 --> 01:06:11.400]  It should have been limited to things that only true obsessive
[01:06:11.600 --> 01:06:16.960]  Obsessives would even notice that you'd almost have to see it side by side to notice it like oh there was only one do back
[01:06:16.960 --> 01:06:20.240]  back in it then now there's a couple but any the the the
[01:06:20.760 --> 01:06:26.440]  The I forget what's even called the the monster the big animal thing on in Mos Eisley
[01:06:26.800 --> 01:06:30.900]  That the Jawa falls off of yeah, like even that was kind of okay
[01:06:30.900 --> 01:06:33.760]  Like it didn't it didn't take me out of the movie. It was kind of silly, but it didn't offend me
[01:06:33.760 --> 01:06:38.800]  All right. I remembered and I remember liking some like I thought like the way that they spruced up cloud city
[01:06:39.680 --> 01:06:43.840]  Bespin in Empire Strikes Back where there was more stuff going on outside the windows
[01:06:44.080 --> 01:06:48.980]  Yeah, I need to feel more alive and less like a matte painting. Yeah, and it is in hindsight, you know
[01:06:48.980 --> 01:06:55.400]  The the lack of anything outside the windows in the original felt a little cheap. I don't know but yeah
[01:06:55.400 --> 01:06:59.400]  Yeah, like they like it felt like you're there on a set right but then you know, I don't know
[01:06:59.400 --> 01:07:03.120]  I still think I think even the Jawa falling off though anything that's like a gag is too much
[01:07:03.120 --> 01:07:07.200]  I will have a way, you know, he didn't need it. But anyway, that's that's neither here nor there
[01:07:07.200 --> 01:07:10.720]  It was a good it the best thing about the special editions though
[01:07:10.720 --> 01:07:16.800]  Is that it let us know that George Lucas had lost his mind and it I think it set expectations for the new trilogy
[01:07:17.040 --> 01:07:22.760]  Accordingly, do you really think it did because I have anybody I know still managed to be disappointed
[01:07:22.760 --> 01:07:25.600]  I think the reaction to Phantom Menace would have been even more heartbreaking
[01:07:25.600 --> 01:07:30.400]  I think there would have been people jumping on buildings if it if it had come out it dropped out of the blue without the
[01:07:30.400 --> 01:07:32.080]  special editions
[01:07:32.080 --> 01:07:35.400]  like the special editions if the special editions didn't make everybody's
[01:07:37.080 --> 01:07:44.120]  Feel like there was a disturbance in the force then you're not hooked up, right? I remember when Phantom Menace came out opening day
[01:07:44.120 --> 01:07:46.120]  I went and saw it in the theater and I walked out and
[01:07:46.320 --> 01:07:52.080]  Me and my friends and everybody else that I could hear talking outside the theater. Everybody was really excited. Everybody enjoyed it
[01:07:52.080 --> 01:07:57.960]  Yeah, I did too. It weren't bad there there, you know, I've said this before they're not terrible. They're only they're only
[01:07:57.960 --> 01:08:05.240]  Significantly worse compared to the original trilogy and I I see lots and lots of of action movies
[01:08:05.240 --> 01:08:09.480]  you know the type of movies where there are things like laser guns and chase scenes and and
[01:08:09.960 --> 01:08:16.240]  You know superhero powers and stuff like that and the the the prequel trilogy is way better than almost all of them
[01:08:16.240 --> 01:08:20.760]  That's way better than typical stuff that I see, you know, it's maybe better than typical
[01:08:20.760 --> 01:08:21.900]  I was gonna go the other direction though
[01:08:21.900 --> 01:08:25.840]  I was gonna say that it wasn't that Phantom Menace was a good movie or even
[01:08:25.840 --> 01:08:27.700]  necessarily a passable movie
[01:08:27.700 --> 01:08:34.320]  I think that it's people went into that theater so fully prepared to be excited that
[01:08:36.080 --> 01:08:41.760]  They could not emotionally handle the movie they actually saw and so they had to walk out feeling good about it
[01:08:41.760 --> 01:08:43.760]  and it wasn't until maybe
[01:08:43.760 --> 01:08:48.180]  The next morning when we all woke up and we got in the shower and we get out
[01:08:48.180 --> 01:08:52.840]  We still don't quite feel clean that it starts to dawn on us that that was a really terrible thing that it just happened now
[01:08:52.840 --> 01:08:58.200]  I remember thinking as I watched I didn't come out thinking it was a bad movie and I still don't think it's a bad
[01:08:58.200 --> 01:09:02.480]  Movie, but they're the parts that were that were worst were so obviously bad right away
[01:09:02.480 --> 01:09:08.180]  Like what you don't think it's a bad movie. I don't I think it's you know, it's like a b-minus action movie
[01:09:08.260 --> 01:09:13.440]  It's supposed to be a kids movie and it all centers around trade negotiations, but they don't spend too much time. I agree
[01:09:13.440 --> 01:09:16.040]  It's it's stupid. I remember thinking the time it's like god
[01:09:16.040 --> 01:09:19.320]  Why are they going on on this and I still don't really know what happened in that movie
[01:09:19.320 --> 01:09:23.920]  No, and I still yeah, and I also think that it's suffered, you know from some fundamental
[01:09:25.040 --> 01:09:30.740]  Big-picture problems like establishing which sides the good guys which sides the bad guys, you know, they like that
[01:09:31.300 --> 01:09:38.920]  Awesome, incredible clarity the way that the Empire was almost Nazi like deliberately. I mean, it's you know, you know the helmet design
[01:09:39.520 --> 01:09:43.760]  for Vader comes from a you know, one of the inspirations is a
[01:09:44.400 --> 01:09:46.400]  You know a Nazi helmet
[01:09:46.400 --> 01:09:48.220]  The
[01:09:48.220 --> 01:09:51.060]  Lack of clarity said a whole trilogy suffers from that, you know
[01:09:51.060 --> 01:09:55.980]  And it's all based on the stupid cockamamie idea that the you know that the Emperor was more or less
[01:09:56.380 --> 01:10:00.460]  You know trumped up the whole war on false charges and there was no good guys or bad guys
[01:10:00.460 --> 01:10:03.980]  And it just makes the movie less enjoyable as popcorn thriller
[01:10:04.140 --> 01:10:10.460]  like if you're gonna make a popcorn movie you want to have crisply clearly defined good guys bad guys not any kind of
[01:10:10.460 --> 01:10:16.620]  Ambiguity in that in that area you should you should know who's who right and it's you know, who's fighting with him
[01:10:16.620 --> 01:10:22.220]  What why are they fighting the droids, you know, and every time we meet somebody interesting they almost immediately die
[01:10:25.020 --> 01:10:29.380]  Seriously Darth Maul we we get to meet that guy we're excited and then he gets cut in half. Ah
[01:10:30.420 --> 01:10:35.300]  I kind of I had a feeling that he was gonna go down because he don't he didn't talk enough
[01:10:35.300 --> 01:10:40.720]  The fact that we don't made it feel like they were setting us up for that. Yeah, but we're we see the trailer
[01:10:40.720 --> 01:10:44.580]  And we're all super excited about Darth Maul and then he he's barely in the movie and when he's in the movie
[01:10:44.580 --> 01:10:47.580]  He's awesome. And then he dies. Yeah, and the best good guy in the movie is Qui-Gon too
[01:10:47.580 --> 01:10:50.540]  Okay, Obi-Wan had such a limited part in the movie
[01:10:50.540 --> 01:10:55.520]  Yeah, like our hero the only thing that we can like even remotely attached to emotionally he dies
[01:10:55.520 --> 01:10:57.860]  But the thing to me the thing that stuck out the most
[01:10:58.540 --> 01:11:00.540]  about that movie
[01:11:00.540 --> 01:11:07.580]  Originally and instantly the first you know, and I saw it on opening day two was the whole opening the can of worms with this
