[00:00.000 --> 00:04.000]  Glenn Fleischman, it is so good to have you back on the show.
[01:13:11.000 --> 01:13:19.000]  Everything was like that's so beautiful. But the walk from infinite loop, like where you park, like where the press usually parks.
[01:13:19.000 --> 01:13:25.000]  Yeah. To to this cafeteria, it's a couple block walk and you just realize as you walk it.
[01:13:25.000 --> 01:13:31.000]  Oh, and the other thing I got to see a lot of, too, is because I stayed at a hotel across the street.
[01:13:31.000 --> 01:13:35.000]  I forget the name of it, but it's right there by the I didn't instead of staying in San Francisco, like I usually do.
[01:13:35.000 --> 01:13:39.000]  I just I was like, I'm just here for Cupertino, so I'll just stay there.
[01:13:39.000 --> 01:13:44.000]  But the walk from my hotel to where I had to go in the morning and a nice, nice little 10 minute walk.
[01:13:44.000 --> 01:13:53.000]  Beautiful because it's sunny California. But you realize as you walk down Bandly Boulevard, every building is apples now.
[01:13:53.000 --> 01:13:58.000]  They just bought everything. Anything that's not like a restaurant is is an Apple office.
[01:13:58.000 --> 01:14:05.000]  And so they have a bunch of offices at the, quote, old campus that aren't really part of what you would think of as the old Apple campus.
[01:14:05.000 --> 01:14:10.000]  They're just off any office space anywhere down there they've bought.
[01:14:10.000 --> 01:14:18.000]  But anyway, that is to say, I still think most of those offices, though, even the ones that are just random real estate pickups that Apple's made in the last 10 years.
[01:14:18.000 --> 01:14:24.000]  Yeah. Most Apple employees have their own office. That is a very long way of me getting to Apple.
[01:14:24.000 --> 01:14:30.000]  Most people at Apple have their own office. They always have and they always did.
[01:14:30.000 --> 01:14:35.000]  And those who are moving to the Apple campus to now won't.
[01:14:35.000 --> 01:14:45.000]  I'm shocked by it because it's not like it's not like Apple is run by a bunch of managers who are disconnected from what they do.
[01:14:45.000 --> 01:14:54.000]  Right. This is, you know, I try not to say if Steve Jobs were live X and I feel like this is one of those things I'm I'm baffled by because I again,
[01:14:54.000 --> 01:14:59.000]  I don't think Apple is confused about internally about how people work. I wonder about their own history.
[01:14:59.000 --> 01:15:04.000]  I wonder about that, though, because it seems like Jobs really was deeply you know,
[01:15:04.000 --> 01:15:14.000]  they he had they had the spaceship, you know, famously his last public appearance was before the Cupertino City Council had to pitch this thing and they had drawings of it.
[01:15:14.000 --> 01:15:20.000]  And so I feel like he might have, you know, he and Johnny were both on board with this.
[01:15:20.000 --> 01:15:26.000]  I guess, but it just I mean, there's decades of really good research about productivity.
[01:15:26.000 --> 01:15:31.000]  I mean, people were throwing up studies left and right, because it's not it's like we all have our own anecdotal experience.
[01:15:31.000 --> 01:15:37.000]  And anybody who's a programmer or writer, I would say virtually. Gosh, can I say like 100 percent of people?
[01:15:37.000 --> 01:15:41.000]  It's probably not 100 percent, but I don't know anybody who's a programmer or writer.
[01:15:41.000 --> 01:15:49.000]  And I'm not disparaging people in other professions, but I know specifically where your job is to stare at words and type on a screen and maintain a state of flow.
[01:15:49.000 --> 01:15:54.000]  With that, you're not on the phone all the time, where if you're on the phone, you also need privacy and whatever.
[01:15:54.000 --> 01:15:58.000]  But you're not on the phone all the time. You're not walking around. You're not constantly in meetings with other people.
[01:15:58.000 --> 01:16:05.000]  Your job is as much of it as you can maintain is a relationship with that screen, right?
[01:16:05.000 --> 01:16:10.000]  Is what you're doing. I don't know anybody who wants to be in a place where people are walking around them.
[01:16:10.000 --> 01:16:16.000]  They want a place where they can close the door and have as little visual disruption as possible, as well as oral disruption.
[01:16:16.000 --> 01:16:23.000]  So I can't imagine talking to any 10 people in Apple who did those jobs and any 10 of them saying, yeah, that'd be great.
[01:16:23.000 --> 01:16:25.000]  I'd love to be in a place where I have to wear headphones all the time.
[01:16:25.000 --> 01:16:28.000]  And I have to almost wear blinders to keep from being disrupted by people walking.
[01:16:28.000 --> 01:16:32.000]  And they're not doing it because they're cheaping out. There's nothing about this.
[01:16:32.000 --> 01:16:35.000]  There's nothing about this project that is about being cheap.
[01:16:35.000 --> 01:16:43.000]  It is like an Apple product and like any Johnny Ives obsession. It is about, you know, maybe not quite spare no expense,
[01:16:43.000 --> 01:16:48.000]  but it is, you know, spare little expense at making it exactly what they want.
[01:16:48.000 --> 01:16:52.000]  And looking at the photos, it's not like they're saving space per se.
[01:16:52.000 --> 01:16:57.000]  It looks like there's a lot of really kind of opened spaces for people to work where you could easily have,
[01:16:57.000 --> 01:17:02.000]  even if it was two people to an office, which is not uncommon, or some other thing, at least some spaces that could be closed.
[01:17:02.000 --> 01:17:05.000]  I don't get it.
[01:17:05.000 --> 01:17:12.000]  I realize that there are a ton of people listening to us talk about this now who work in an open floor plan.
[01:17:12.000 --> 01:17:15.000]  I realize that that is certainly the modern way to do things.
[01:17:15.000 --> 01:17:22.000]  I know that a lot of startups, it's almost assumed that that's how they're going to lay out the floor plans.
[01:17:22.000 --> 01:17:26.000]  I realize whether it's for cost cutting reasons or cultural reasons,
[01:17:26.000 --> 01:17:34.000]  because I think like startups think it fosters a collaboration or whatever.
[01:17:34.000 --> 01:17:38.000]  The difference is that Apple already has a culture and a company culture.
[01:17:38.000 --> 01:17:39.000]  Right.
[01:17:39.000 --> 01:17:51.000]  And it also is sort of self-selecting where if you're a software engineer and you like having an office,
[01:17:51.000 --> 01:17:56.000]  that might be one of the reasons you went to work for Apple in the first place.
[01:17:56.000 --> 01:17:59.000]  I don't know. I find this very, very, to me, alarming.
[01:17:59.000 --> 01:18:05.000]  I honestly feel like it's and I've been saying for years and I always think I have to give him credit.
[01:18:05.000 --> 01:18:07.000]  Guy English had a blog post.
[01:18:07.000 --> 01:18:12.000]  Oh, man, it might have been I don't know if it was right before or after Steve Jobs died, but it was right around that time.
[01:18:12.000 --> 01:18:15.000]  And just like what are the biggest what's the biggest thing Apple should be worried about?
[01:18:15.000 --> 01:18:19.000]  And his take was the number one is talent retention.
[01:18:19.000 --> 01:18:25.000]  The single biggest, yes, single biggest threat and concern for Apple as a company is talent retention.
[01:18:25.000 --> 01:18:32.000]  And that, you know, this was written, you know, he wrote it at a point where the iPhone was clearly this.
[01:18:32.000 --> 01:18:39.000]  You know, it was on that trajectory where you could see what a sensation, you know, it was going to be for years to come.
[01:18:39.000 --> 01:18:49.000]  And obviously was built by a fantastic army of employees, designers, hardware engineers, software engineers.
[01:18:49.000 --> 01:18:53.000]  But that having you know, that's a conquered thing.
[01:18:53.000 --> 01:19:02.000]  And that those type the type of people who can make, you know, a world where everybody has a flip phone to create the iPhone.
[01:19:02.000 --> 01:19:06.000]  You know, those type of people are drawn to new things.
[01:19:06.000 --> 01:19:09.000]  Let's do let's tackle the next amazing new thing.
[01:19:09.000 --> 01:19:13.000]  Not keep making the best, you know, the new 10th iPhone.
[01:19:13.000 --> 01:19:16.000]  Not that, you know, and obviously there's a ton of interest.
[01:19:16.000 --> 01:19:18.000]  We might if we have time, we might even get to talk about it.
[01:19:18.000 --> 01:19:22.000]  There's a ton of interest in the 10th iPhone.
[01:19:22.000 --> 01:19:33.000]  But it's, you know, you could lose those people if they're bored, you know, and there's all sorts of other reasons that people might leave companies is that there's other thriving companies in the area that might offer them more money, etc, etc.
[01:19:33.000 --> 01:19:42.000]  So there's, you know, we could spend a whole show listing the reasons that the challenges that Apple has at maintaining the talent they have.
[01:19:42.000 --> 01:19:47.000]  Where they work, your work environment is absolutely huge.
[01:19:47.000 --> 01:19:49.000]  Because it's every day. It's all day, every day.
[01:19:49.000 --> 01:19:52.000]  It's one of the biggest to me, it's one of the biggest things possible.
[01:19:52.000 --> 01:19:57.000]  And think about the think about the people who work at Apple.
